T_K,tau_s,X_CH4_kinetic,X_CH4_equilibrium,approach_to_eq,C_solid_tpd,Q_kW
1000,0.1,0.0008887574680185101,0.8506588504477377,0.001044787187661328,0.03193876242102521,2.742691277316058
1000,0.3,0.0026615496302864784,0.8506588504477377,0.003128809661929212,0.0956465676775417,8.21349942793687
1000,0.5,0.004428078255127544,0.8506588504477377,0.005205468975955354,0.15912928381671004,13.664978402605941
1000,1.0,0.008817257314186741,0.8506588504477377,0.010365209636678495,0.3168606697522244,27.20991451067995
1000,2.0,0.017481349720202734,0.8506588504477377,0.020550364827217824,0.6282171409018549,53.94716457379376
1000,3.0,0.025996993651811375,0.8506588504477377,0.030561010019619566,0.9342389051980361,80.22630502823424
1000,5.0,0.042600691914840734,0.8506588504477377,0.05007964343451924,1.5309163939587744,131.46505129587317
1000,10.0,0.08180232334336865,0.8506588504477377,0.09616348939450008,2.9396827197223656,252.44065650283162
1000,30.0,0.21242346446703253,0.8506588504477377,0.2497163984777506,7.633739021520279,655.5354008904272
1000,100.0,0.4870810355887826,0.8506588504477377,0.5725926854607005,17.503949092185334,1503.1242557498645
1050,0.1,0.0026118072493797237,0.9020321179792077,0.0028954703466999247,0.09385900454228382,8.094454131561033
1050,0.3,0.007794853011666187,0.9020321179792077,0.008641436215296562,0.2801191184385308,24.157632681406163
1050,0.5,0.012924676756795378,0.9020321179792077,0.014328399731209236,0.4644666235268991,40.055866755832916
1050,1.0,0.025522979864353933,0.9020321179792077,0.02829497903193537,0.9172045462342486,79.10024365760732
1050,2.0,0.04979960972877299,0.9020321179792077,0.05520824451388426,1.7896197343207734,154.33782750035022
1050,3.0,0.07293798565257949,0.9020321179792077,0.08085963259931365,2.6211301497419357,226.04776039775157
1050,5.0,0.11616369666266776,0.9020321179792077,0.12878000056462002,4.1745074929585595,360.0119092292379
1050,10.0,0.20965539399176145,0.9020321179792077,0.2324256418512518,7.534264475926118,649.7592693728349
1050,30.0,0.45815525591801454,0.9020321179792077,0.5079145706523227,16.464460099975174,1419.9044378334052
1050,100.0,0.7792006870968509,0.9020321179792077,0.8638280961020192,28.00168383285997,2414.8811986337646
1100,0.1,0.006954593609676484,0.9351139463980737,0.007437161681166871,0.2499232029295162,21.62887991699784
1100,0.3,0.020580022049332694,0.9351139463980737,0.022008036698205627,0.7395723338564402,64.0041461193332
1100,0.5,0.03384312639429393,0.9351139463980737,0.03619144653403241,1.21620083362528,105.25257950078823
1100,1.0,0.06552975966016171,0.9351139463980737,0.07007676434788836,2.354905022586336,203.7984362893039
1100,2.0,0.12337042120239142,0.9351139463980737,0.13193089641919767,4.433491379104424,383.68367373527747
1100,3.0,0.175032224867387,0.9351139463980737,0.1871774295973088,6.29003169845692,544.3525798538512
1100,5.0,0.2638903073755841,0.9351139463980737,0.28220123161680155,9.48327314907633,820.7024148105401
1100,10.0,0.4290710458851844,0.9351139463980737,0.45884359605362024,15.419277687595443,1334.4167392327447
1100,30.0,0.7406607935520904,0.9351139463980737,0.7920540554496174,26.616697998192375,2303.4650566325845
1100,100.0,0.9244197124681967,0.9351139463980737,0.9885637103680577,33.22033584677835,2874.9577726677303
1150,0.1,0.016937442821602894,0.9562322984011983,0.01771268639421819,0.6086710736802857,52.82206731153267
1150,0.3,0.049179928372295456,0.9562322984011983,0.0514309425173395,1.7673506042900113,153.37530666344625
1150,0.5,0.07945729822158343,0.9562322984011983,0.0830941376425315,2.8554109099975644,247.8000250250148
1150,1.0,0.1478773440433481,0.9562322984011983,0.15464583688565647,5.3141824725190725,461.17865035362917
1150,2.0,0.2609164871528622,0.9562322984011983,0.2728588937950637,9.37640469396404,813.7089165254012
1150,3.0,0.3513815538623389,0.9562322984011983,0.3674646364171572,12.62739540517021,1095.8383910512441
1150,5.0,0.48841081309888884,0.9562322984011983,0.5107658608849567,17.551736536450523,1523.1855904650042
1150,10.0,0.6925429721659144,0.9562322984011983,0.7242413515249723,24.88751571756345,2159.8036892097807
1150,30.0,0.9206071545743313,0.9562322984011983,0.9627442579732649,33.08332616171733,2871.057549749002
1150,100.0,0.9561861538777037,0.9562322984011983,0.999951743395855,34.36190805477809,2982.0162296320523
1200,0.1,0.03791302143688596,0.969816106969557,0.03909300037855122,1.3624582947681076,118.4881199701802
1200,0.3,0.1060375943106647,0.969816106969557,0.10933783585220788,3.810611617075239,331.39524943816434
1200,0.5,0.1658576760294422,0.969816106969557,0.17101971686952872,5.960331250134144,518.3486694160481
1200,1.0,0.2889911936366199,0.969816106969557,0.2979855578390507,10.385309161935625,903.1731559286185
1200,2.0,0.463871626047781,0.969816106969557,0.47830884918716055,16.669885982800928,1449.7203017546406
1200,3.0,0.583291225067477,0.969816106969557,0.6014451821078971,20.961398953169837,1822.9378201471573
1200,5.0,0.7341173874239575,0.969816106969557,0.7569655547564563,26.38155140165547,2294.3090731528423
1200,10.0,0.8935766039313785,0.969816106969557,0.9213876708271956,32.11194491749355,2792.6608810491184
1200,30.0,0.9687223917189954,0.969816106969557,0.9988722447042263,34.81241557395544,3027.5111457122784
1200,100.0,0.9698159589849353,0.969816106969557,0.9999998474096062,34.851714467472874,3030.9288297820713
1300,0.1,0.14694124197866,0.984615719475458,0.14923714813017727,5.280542314746192,460.35732271988894
1300,0.3,0.35026905513427675,0.984615719475458,0.3557418881356864,12.587416182662492,1097.370093527985
1300,0.5,0.4883423576528934,0.984615719475458,0.49597253831479743,17.549276492732535,1529.9447405817716
1300,1.0,0.6970346424010245,0.984615719475458,0.7079255679285328,25.048930269536747,2183.7640508398013
1300,2.0,0.8758863128326119,0.984615719475458,0.8895717339341582,31.476219171274703,2744.094663642315
1300,3.0,0.941138943292805,0.984615719475458,0.9558439142066362,33.821165162295976,2948.5268969253816
1300,5.0,0.9773454093651025,0.984615719475458,0.9926160938053795,35.12229596524615,3061.9593925389136
