Element,In (kmol-atoms/d),Out (kmol-atoms/d),Abs Error,Rel Error
C,2201.1258618718466,2201.1258618718466,0.0,0.0
H,14467.83643956869,14467.83643956871,2.000888343900442e-11,1.3829907134062762e-15
O,1908.7004930809608,1908.700493080961,2.2737367544323206e-13,1.1912485812596666e-16
