case,config,y_CH4_biogas,CO2_bio_tpd,CO2_DAC_tpd,CO2_total_tpd,CO2_total_carbon_tpd,H2_electrolysis_tpd,value_type,mode,phi,P1_bar,P2_bar,P3_bar,pressure_order,recycle,purge_p,r_CH4,h_H2_to_CFR,converged,iterations,method,S1_X_CH4,S1_inlet_CH4_ratio_vs_fresh,S2_inlet_H2_to_CO2_ratio,S2_inlet_total_kmol_d,S2_X_CO2_per_pass,S2_xi1_RWGS_CO_formed_kmol_d,S2_xi2_CH4_formed_kmol_d,S2_methanation_to_RWGS_ratio,S3_CH4_formed_kmol_d,recycle_to_S2_total_kmol_d,C_stage1_tpd,C_stage3_tpd,C_total_tpd,C_from_wasteCH4_tpd,C_from_biogasCO2_tpd,C_from_DACCO2_tpd,C_from_CO2_total_tpd,CO2_carbon_fixed_fraction,CO2_fixed_as_CO2_tpd,purge_CO2_tpd,purge_CO_tpd,purge_CH4_tpd,purge_carbon_as_CO2_if_oxidised_tpd,H2_net_exportable_tpd,H2_permeate_tpd,H2_stoich_available_tpd,H2_stoich_needed_for_all_CO2_tpd,H2_stoich_surplus_tpd,water_total_tpd,Q1_kW,Q2_kW,Q3_kW,Q_total_kW,closure_C_rel,closure_H_rel,closure_O_rel,tracer_iterations,S2_inlet_kmol_d,S3_inlet_kmol_d,pw2_kmol_d,pw3_kmol_d,Q_fired_kW
2b_y0.60 kin recycle phi=0 h=0.5,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,kinetic,kinetic,0.0,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,302,direct,0.8728806831856029,1.1513269583157504,0.8659403863654328,49659.252464502795,0.1295288727681575,1492.9534892240226,0.0,0.0,16.064698296438053,41213.05755254747,36.11506304312328,0.23702273685907535,36.35208577998236,35.92268992231795,0.4293958576644143,0.0,0.4293958576644143,0.01792314790741351,1.5733313046335202,22.077205581678502,40.81584899270998,0.01911498420830536,86.25904891312466,8.97674298425092,8.555803352224375,10.530065193605239,8.042386087390142,2.487679106215098,27.536087790391644,3140.797732317029,609.4417366227892,-71.52148087291576,3678.7179880669023,-7.478094261236947e-08,2.7263175420936625e-11,-1.1699558652078676e-07,477,49659.252464502795,43991.99929840044,48235.94937390857,43834.930289378055,3750.239468939818
2b_y0.60 kin recycle phi=0.1 h=0.5,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,kinetic,kinetic,0.1,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,303,direct,0.8728806831856027,1.152254113686398,0.8663500018161274,49616.79498514687,0.12956779557246811,1490.6486933237975,2.4343469177185852,0.001633078892848027,16.05903191823029,41165.40468165431,36.144146245266505,0.23664088408767267,36.38078712935418,35.92268992309447,0.4580972062597198,0.0,0.4580972062597198,0.019121153213784974,1.6784947090403803,22.071501539799417,40.75234252501559,0.019232098570913455,86.15388548356403,8.971620127786585,8.550919763113205,10.530065193605237,8.042386087390142,2.487679106215096,27.581598579102234,3143.3269942826237,603.1696834905215,-71.45744660671657,3675.0392311664286,-7.48825968139954e-08,4.00336647601307e-11,-1.1713157736764399e-07,477,49616.79498514687,43944.65573046188,48186.18339073628,43787.54338417446,3746.496677773145
2b_y0.60 kin recycle phi=1 h=0.5,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,kinetic,kinetic,1.0,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,312,direct,0.8728806831856024,1.1605205486010255,0.8699137815560176,49238.369021304694,0.12989418736835368,1470.0293490507938,24.137848957113135,0.016419977582555804,16.00942982966893,40740.657068433575,36.40344949177478,0.233201933307243,36.63665142508202,35.922689929311204,0.7139614957708127,0.0,0.7139614957708127,0.029801026862488412,2.6159962923468236,22.023764775092243,40.18421926002053,0.020276279823287474,85.21638416090678,8.926093882436904,8.507519715233903,10.530065193605232,8.042386087390142,2.4876791062150923,27.98604030098099,3165.8776692639485,547.2220568931975,-70.88437412355776,3642.2153520335883,-7.3591090790012e-08,1.4895170345615345e-10,-1.1490475098926819e-07,477,49238.369021304694,43522.66591974783,47742.665778494804,43365.17346274736,3713.099726157146
