kind,stage,feed,parameter_set,n_T,temperatures,n_points,logdet_F,cond_number,rel_se_k_meth,rel_se_Ea_meth,rel_se_n,rel_se_k_carb,rel_se_Ea_carb,rel_se_k_crack,rel_se_Ea_crack,rel_se_k1_ref,rel_se_Ea1,rel_se_k2_ref,rel_se_Ea2
K2b (old inlet) 600/725/800,S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),3,600/725/800,18,18.732630416609823,79402.24513382402,3.3089904708006515,0.2830149212760182,2.001987573629243,0.6270796648255375,0.16472993755184426,1.4210345426184245,0.2707605938801187,,,,
K2b (old inlet) 600/700/800/825,S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,600/700/800/825,24,22.42587078661013,124137.56268496548,2.8964962146337845,0.21767156746262303,1.8487932248853205,0.47192837618762434,0.11534316631249537,0.6309161628386888,0.12760899300411768,,,,
D-optimal,S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,850/950,6,13.859934086150696,101.03714907279802,,,,,,,,0.1021204617907599,0.12605078248263388,0.5109257866684123,0.4000567643361543
D-optimal,S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",3,850/925/1050,9,15.648451628953591,128.94556848663072,,,,,,,,0.058685264645385496,0.06568579109353002,0.520313142154572,0.43308838449762477
D-optimal,S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",4,850/875/950/1050,12,16.725355279150698,155.78933316400878,,,,,,,,0.051980442864277034,0.05956479428845336,0.47467294493009765,0.3970013199138498
K2 a priori 900/950/1000,S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",3,900/950/1000,9,12.869140943153429,193.38048639590403,,,,,,,,0.0610041973534437,0.13951933072104816,0.4348023106834714,0.7337920088224356
K2 two T 900/1000,S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,900/1000,6,11.091969191246964,422.13102048711016,,,,,,,,0.08273326405104893,0.15316823819545788,0.8592950920848388,1.226623522536771
D-optimal,S2,"S2 kinetic-loop inlet (X4, H2/CO2 0.87)","P4 (k1, Ea1, k2, Ea2)",2,900/1050,6,3.2696631123392352,235.35067523477178,,,,,,,,0.2777544478961933,0.331050011835142,2.466674590531532,2.115242456963945
D-optimal,S2,"S2 kinetic-loop inlet (X4, H2/CO2 0.87)","P4 (k1, Ea1, k2, Ea2)",3,875/900/1050,9,4.672133312812441,136.17588866061084,,,,,,,,0.2138635267259873,0.25276795791097734,1.8815849787682213,1.619292802736004
D-optimal,S2,"S2 kinetic-loop inlet (X4, H2/CO2 0.87)","P4 (k1, Ea1, k2, Ea2)",4,875/900/1025/1050,12,5.753776335686252,208.36425916461417,,,,,,,,0.18956302248581314,0.23214914812075232,1.7255969724284994,1.6146634829005053
K2 a priori 900/950/1000,S2,"S2 kinetic-loop inlet (X4, H2/CO2 0.87)","P4 (k1, Ea1, k2, Ea2)",3,900/950/1000,9,1.877402607911778,237.8083768620201,,,,,,,,0.20992884533882755,0.48563484103295074,1.7769190792948315,2.9295989903886563
K2 two T 900/1000,S2,"S2 kinetic-loop inlet (X4, H2/CO2 0.87)","P4 (k1, Ea1, k2, Ea2)",2,900/1000,6,1.2441439749324592,183.69369318975112,,,,,,,,0.25821198363840525,0.48722216432402643,1.9825019703023388,3.0837785214588243
