parameter,low_case,NPV_low,high_case,NPV_high,base,swing
Electricity price (0.08 / 0.04 USD/kWh),0.08,11.70154564284379,0.04,14.751209791401998,13.22637771712289,3.0496641485582074
H2 price (2 / 5 USD/kg),2,10.295489904748955,5,19.088153341870793,13.22637771712289,8.792663437121838
Fixed O&M (5 % / 3 % of FCI),5 %,8.185193060289338,3 %,18.267562373956448,13.22637771712289,10.08236931366711
Yield (kinetic design case / equilibrium),kinetic 36 t/d,36.010426468127214,equilibrium 59 t/d,13.22637771712289,13.22637771712289,22.784048751004324
Discount rate (10 % / 5 %),10 %,4.646396359080568,5 %,30.615841426213002,13.22637771712289,25.969445067132433
CAPEX (Lang 3.10 / 4.74),3.10,23.667278121759907,4.74,-8.640413696362213,13.22637771712289,32.30769181812212
Biogas CH4 fraction y (0.55 / 0.65),0.55,-7.126084317313842,0.65,25.34242519560116,13.22637771712289,32.468509512915
Gate fee basis (0 % / 100 % of 800 t/d at 15 USD/t),0 %,-6.213554149626694,100 %,32.66630958387249,13.22637771712289,38.879863733499185
"Carbon price (245 / 455 USD/t, ±30 %)",245,-6.725673879643947,455,33.178429313889765,13.22637771712289,39.904103193533714
