stage,feed,T_K,tau_s,P_bar,Y_CH4,X_COx,Y_Csolid,dy_Y_CH4_dk_meth,dy_Y_CH4_dEa_meth,dy_Y_CH4_dk_carb,dy_Y_CH4_dEa_carb,dy_Y_CH4_dk_crack,dy_Y_CH4_dEa_crack,dy_Y_CH4_dn,dy_X_COx_dk_meth,dy_X_COx_dEa_meth,dy_X_COx_dk_carb,dy_X_COx_dEa_carb,dy_X_COx_dk_crack,dy_X_COx_dEa_crack,dy_X_COx_dn,dy_Y_Csolid_dk_meth,dy_Y_Csolid_dEa_meth,dy_Y_Csolid_dk_carb,dy_Y_Csolid_dEa_carb,dy_Y_Csolid_dk_crack,dy_Y_Csolid_dEa_crack,dy_Y_Csolid_dn,X_CO2,dy_X_CO2_dk1_ref,dy_X_CO2_dEa1,dy_X_CO2_dk2_ref,dy_X_CO2_dEa2,dy_Y_CH4_dk1_ref,dy_Y_CH4_dEa1,dy_Y_CH4_dk2_ref,dy_Y_CH4_dEa2
S3,"H2/CO2=1, CO/CO2=0.01",600.0,1.0,1.01325,8.176447870411592e-05,8.176447870367198e-05,0.0,7.994887407979516e-05,-0.00012328871684627853,1.9315545034414872e-06,-3.2766177104121046e-06,-1.501240382857362e-07,3.705017983497103e-07,0.0,7.994887416262753e-05,-0.00012328871681621667,1.931554421963355e-06,-3.2766178242882305e-06,-1.5012402432290628e-07,3.70501768154341e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
S3,"H2/CO2=1, CO/CO2=0.01",600.0,1.0,5.0,0.036978805249913926,0.036978805249913704,0.0,0.028920880782916727,-0.04459468914104255,6.524920384484711e-05,-0.00011068630164385447,-5.790149896107988e-05,0.00014289919920088684,0.04616614691081038,0.02892088078285393,-0.04459468914099485,6.524920382056099e-05,-0.00011068630158816982,-5.790149896489627e-05,0.00014289919920418281,0.046166146910835426,-2.8304318782012513e-23,-2.8304318782012513e-23,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
S3,"H2/CO2=1, CO/CO2=0.01",600.0,3.0,1.01325,0.0002450560296316608,0.0002450560296289872,0.0,0.00023937808829952584,-0.0003691434303922126,5.7879418062829085e-06,-9.818449323705121e-06,-4.4956723548272804e-07,1.1095189731853412e-06,0.0,0.0002393780883042096,-0.0003691434304758934,5.7879418313699915e-06,-9.818449336895796e-06,-4.495671890314412e-07,1.1095189489385149e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
S3,"H2/CO2=1, CO/CO2=0.01",600.0,3.0,5.0,0.07781546158927165,0.07781546158927144,0.0,0.043637751045732046,-0.06728511864956821,0.00011742228761962847,-0.00019919063621552657,-9.972902634304559e-05,0.0002461283037113321,0.0696325764102608,0.04363775104572476,-0.06728511864960707,0.00011742228757105622,-0.00019919063617424015,-9.972902636767866e-05,0.0002461283036020445,0.0696325764102601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
S3,"H2/CO2=1, CO/CO2=0.01",600.0,10.0,1.01325,0.0008140964154531622,0.0008140964154524921,0.0,0.0007924985038553438,-0.001222104656560706,1.9215115261910854e-05,-3.259579148025683e-05,-1.489227969417241e-06,3.675371652251476e-06,0.0,0.0007924985038654242,-0.0012221046565757954,1.921511529889841e-05,-3.2595791502054716e-05,-1.4892279021072596e-06,3.675371645917025e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
S3,"H2/CO2=1, CO/CO2=0.01",600.0,10.0,5.0,0.13095110443566851,0.1309511044356665,0.0,0.041213493143469476,-0.06354828711193222,0.0001661319111639914,-0.00028181927610587687,-0.00012436059383877374,0.0003069184944810843,0.06577692177810485,0.04121349314339939,-0.06354828711200022,0.0001661319110196624,-0.0002818192761627758,-0.00012436059389775433,0.00030691849453312603,0.06577692177810901,0.0,0.0,0.0,0.0,-2.264345502561001e-22,0.0,9.057382010244003e-23,,,,,,,,,
S3,"H2/CO2=1, CO/CO2=0.01",625.0,1.0,1.01325,0.00019022707886462553,0.00019022707886573453,0.0,0.00018554383921527205,-0.0001373238543214216,4.937897800618216e-06,-4.020104506477804e-06,-4.5611594631171214e-07,5.401563747278553e-07,0.0,0.00018554383965363463,-0.00013732385431564076,4.937897676859926e-06,-4.020104441004868e-06,-4.561159755445132e-07,5.401563724083402e-07,0.0,0.0,0.0,0.0,0.0,1.4152159391006256e-23,0.0,0.0,,,,,,,,,
S3,"H2/CO2=1, CO/CO2=0.01",625.0,1.0,5.0,0.06694567416187688,0.06694567416187858,0.0,0.04133171724902511,-0.030591457259217247,0.00013430204083945962,-0.00010933971011130306,-0.00011855214713044071,0.00014039565336444737,0.06595540204214878,0.04133171724901574,-0.030591457259274146,0.0001343020407662543,-0.00010933971003046496,-0.0001185521471380735,0.00014039565351120498,0.06595540204217043,0.0,5.660863756402503e-23,0.0,0.0,-5.660863756402503e-23,0.0,0.0,,,,,,,,,
S3,"H2/CO2=1, CO/CO2=0.01",625.0,3.0,1.01325,0.0005694000124935459,0.0005694000124936149,0.0,0.0005541101971498621,-0.00041010566038359646,1.4772271524982538e-05,-1.2026591366049496e-05,-1.3626277965754453e-06,1.6136951497242686e-06,0.0,0.0005541101970901741,-0.00041010566041166374,1.4772271469953857e-05,-1.20265913394757e-05,-1.3626276995637454e-06,1.6136951219714035e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
S3,"H2/CO2=1, CO/CO2=0.01",625.0,3.0,5.0,0.11555315309365229,0.11555315309365077,0.0,0.04395656455139993,-0.03253416793592631,0.00019219449393405308,-0.0001564718975867463,-0.00015711552067906864,0.00018606442469051854,0.07014803733933331,0.04395656455154218,-0.03253416793586872,0.00019219449390872612,-0.00015647189772205472,-0.00015711552071862034,0.00018606442466206907,0.07014803733928598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
