case,config,h_H2_to_CFR,item,name,kW,basis,source
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.75,A_upgrading_low,biogas CH4/CO2 separation (low: 0.2 kWh/Nm3),1016.0874468048938,"raw biogas 121,930 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.75,A_upgrading_base,biogas CH4/CO2 separation (base: 0.25 kWh/Nm3),1270.1093085061173,"raw biogas 121,930 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.75,A_upgrading_high,biogas CH4/CO2 separation (high: 0.45 kWh/Nm3),2286.196755311011,"raw biogas 121,930 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.75,B1_H2membrane_feed_compression,"H2 membrane, feed 1 atm -> 4 bar (whole Stage 2 stream)",570.2238800568206,"feed 9,412 kmol/d",T3 compression model; assumption 4 bar feed
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.75,B2_H2membrane_permeate_vacuum,"H2 membrane, permeate vacuum 0.25 bar -> 1 atm",77.70603524418128,"permeate 1,248 kmol/d",assumption 0.25 bar permeate
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.75,B_H2membrane_base,H2 membrane driving force (cheaper of B1/B2),77.70603524418128,B2,
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.75,C_CH4separation_base,CH4 separation at Stage 3 outlet (0.25 kWh/Nm3 feed),673.5333971797236,"feed 2,885 kmol/d = 64,659 Nm3/d","assumption, same sources as A"
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.75,C_alt_feed_compression_4bar,CH4 separation alt.: feed 1 atm -> 4 bar,172.40460592232054,,T3 compression model
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.75,D_recycle_blower,"recycle blower, dP 0.3 bar",31.852900986887047,"2,769 kmol/d","assumption dP, eta 0.70"
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.75,D_feed_blower,"fresh biogas/CO2 blower, dP 0.3 bar",62.54179119572104,"5,440 kmol/d",assumption
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.75,E_condenser_fans,"air-cooled condensers, 1.5 % of 5,982 kW duty",89.7295860017784,"latent 2,216 + sensible 3,766 kW",assumption 1-2 % of duty
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.75,F_solids_handling,"solid carbon handling, 10.0 kWh/t",26.764292487987095,64.2 t/d,assumption 5-20 kWh/t
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.75,G_other,other (5 % of B-F),48.106400154813926,,assumption
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.35,A_upgrading_low,biogas CH4/CO2 separation (low: 0.2 kWh/Nm3),931.4134929044861,"raw biogas 111,770 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.35,A_upgrading_base,biogas CH4/CO2 separation (base: 0.25 kWh/Nm3),1164.2668661306077,"raw biogas 111,770 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.35,A_upgrading_high,biogas CH4/CO2 separation (high: 0.45 kWh/Nm3),2095.6803590350937,"raw biogas 111,770 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.35,B1_H2membrane_feed_compression,"H2 membrane, feed 1 atm -> 4 bar (whole Stage 2 stream)",577.9106506515851,"feed 9,569 kmol/d",T3 compression model; assumption 4 bar feed
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.35,B2_H2membrane_permeate_vacuum,"H2 membrane, permeate vacuum 0.25 bar -> 1 atm",148.00799586907576,"permeate 2,377 kmol/d",assumption 0.25 bar permeate
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.35,B_H2membrane_base,H2 membrane driving force (cheaper of B1/B2),148.00799586907576,B2,
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.35,C_CH4separation_base,CH4 separation at Stage 3 outlet (0.25 kWh/Nm3 feed),965.8941022099931,"feed 4,137 kmol/d = 92,726 Nm3/d","assumption, same sources as A"
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.35,C_alt_feed_compression_4bar,CH4 separation alt.: feed 1 atm -> 4 bar,246.5803717926445,,T3 compression model
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.35,D_recycle_blower,"recycle blower, dP 0.3 bar",45.20369901799048,"3,933 kmol/d","assumption dP, eta 0.70"
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.35,D_feed_blower,"fresh biogas/CO2 blower, dP 0.3 bar",57.33345041717186,"4,987 kmol/d",assumption
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.35,E_condenser_fans,"air-cooled condensers, 1.5 % of 5,740 kW duty",86.10265124315434,"latent 1,693 + sensible 4,047 kW",assumption 1-2 % of duty
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.35,F_solids_handling,"solid carbon handling, 10.0 kWh/t",23.981259782594208,57.6 t/d,assumption 5-20 kWh/t
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.35,G_other,other (5 % of B-F),66.32615792699897,,assumption
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.5,A_upgrading_low,biogas CH4/CO2 separation (low: 0.2 kWh/Nm3),931.4134929044861,"raw biogas 111,770 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.5,A_upgrading_base,biogas CH4/CO2 separation (base: 0.25 kWh/Nm3),1164.2668661306077,"raw biogas 111,770 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.5,A_upgrading_high,biogas CH4/CO2 separation (high: 0.45 kWh/Nm3),2095.6803590350937,"raw biogas 111,770 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.5,B1_H2membrane_feed_compression,"H2 membrane, feed 1 atm -> 4 bar (whole Stage 2 stream)",517.73768135408,"feed 8,549 kmol/d",T3 compression model; assumption 4 bar feed
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.5,B2_H2membrane_permeate_vacuum,"H2 membrane, permeate vacuum 0.25 bar -> 1 atm",136.30048356014356,"permeate 2,189 kmol/d",assumption 0.25 bar permeate
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.5,B_H2membrane_base,H2 membrane driving force (cheaper of B1/B2),136.30048356014356,B2,
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.5,C_CH4separation_base,CH4 separation at Stage 3 outlet (0.25 kWh/Nm3 feed),609.7717435736296,"feed 2,612 kmol/d = 58,538 Nm3/d","assumption, same sources as A"
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.5,C_alt_feed_compression_4bar,CH4 separation alt.: feed 1 atm -> 4 bar,155.8833954779268,,T3 compression model
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.5,D_recycle_blower,"recycle blower, dP 0.3 bar",28.667976075699887,"2,493 kmol/d","assumption dP, eta 0.70"
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.5,D_feed_blower,"fresh biogas/CO2 blower, dP 0.3 bar",57.33345041717186,"4,987 kmol/d",assumption
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.5,E_condenser_fans,"air-cooled condensers, 1.5 % of 5,152 kW duty",77.27695853103697,"latent 1,779 + sensible 3,373 kW",assumption 1-2 % of duty
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.5,F_solids_handling,"solid carbon handling, 10.0 kWh/t",24.436754663588477,58.6 t/d,assumption 5-20 kWh/t
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.5,G_other,other (5 % of B-F),46.68936834106352,,assumption
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.75,A_upgrading_low,biogas CH4/CO2 separation (low: 0.2 kWh/Nm3),931.4134929044861,"raw biogas 111,770 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.75,A_upgrading_base,biogas CH4/CO2 separation (base: 0.25 kWh/Nm3),1164.2668661306077,"raw biogas 111,770 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.75,A_upgrading_high,biogas CH4/CO2 separation (high: 0.45 kWh/Nm3),2095.6803590350937,"raw biogas 111,770 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.75,B1_H2membrane_feed_compression,"H2 membrane, feed 1 atm -> 4 bar (whole Stage 2 stream)",648.9496152385249,"feed 10,673 kmol/d",T3 compression model; assumption 4 bar feed
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.75,B2_H2membrane_permeate_vacuum,"H2 membrane, permeate vacuum 0.25 bar -> 1 atm",124.02942395342491,"permeate 1,991 kmol/d",assumption 0.25 bar permeate
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.75,B_H2membrane_base,H2 membrane driving force (cheaper of B1/B2),124.02942395342491,B2,
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.75,C_CH4separation_base,CH4 separation at Stage 3 outlet (0.25 kWh/Nm3 feed),735.8815970394294,"feed 3,152 kmol/d = 70,645 Nm3/d","assumption, same sources as A"
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.75,C_alt_feed_compression_4bar,CH4 separation alt.: feed 1 atm -> 4 bar,188.93526043655575,,T3 compression model
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.75,D_recycle_blower,"recycle blower, dP 0.3 bar",35.584528718436594,"3,090 kmol/d","assumption dP, eta 0.70"
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.75,D_feed_blower,"fresh biogas/CO2 blower, dP 0.3 bar",57.33345041717186,"4,987 kmol/d",assumption
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.75,E_condenser_fans,"air-cooled condensers, 1.5 % of 5,655 kW duty",84.81961770177793,"latent 1,857 + sensible 3,798 kW",assumption 1-2 % of duty
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.75,F_solids_handling,"solid carbon handling, 10.0 kWh/t",24.83273018952912,59.6 t/d,assumption 5-20 kWh/t
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.75,G_other,other (5 % of B-F),53.1240674009885,,assumption
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.35,A_upgrading_low,biogas CH4/CO2 separation (low: 0.2 kWh/Nm3),859.7663011426025,"raw biogas 103,172 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.35,A_upgrading_base,biogas CH4/CO2 separation (base: 0.25 kWh/Nm3),1074.707876428253,"raw biogas 103,172 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.35,A_upgrading_high,biogas CH4/CO2 separation (high: 0.45 kWh/Nm3),1934.4741775708555,"raw biogas 103,172 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.35,B1_H2membrane_feed_compression,"H2 membrane, feed 1 atm -> 4 bar (whole Stage 2 stream)",466.8487119331215,"feed 7,698 kmol/d",T3 compression model; assumption 4 bar feed
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.35,B2_H2membrane_permeate_vacuum,"H2 membrane, permeate vacuum 0.25 bar -> 1 atm",180.74655870212263,"permeate 2,902 kmol/d",assumption 0.25 bar permeate
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.35,B_H2membrane_base,H2 membrane driving force (cheaper of B1/B2),180.74655870212263,B2,
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.35,C_CH4separation_base,CH4 separation at Stage 3 outlet (0.25 kWh/Nm3 feed),450.62001795386635,"feed 1,930 kmol/d = 43,260 Nm3/d","assumption, same sources as A"
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.35,C_alt_feed_compression_4bar,CH4 separation alt.: feed 1 atm -> 4 bar,115.20985801407159,,T3 compression model
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.35,D_recycle_blower,"recycle blower, dP 0.3 bar",21.194884236425377,"1,843 kmol/d","assumption dP, eta 0.70"
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.35,D_feed_blower,"fresh biogas/CO2 blower, dP 0.3 bar",52.926406325619425,"4,603 kmol/d",assumption
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.35,E_condenser_fans,"air-cooled condensers, 1.5 % of 4,307 kW duty",64.60495509923685,"latent 1,444 + sensible 2,863 kW",assumption 1-2 % of duty
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.35,F_solids_handling,"solid carbon handling, 10.0 kWh/t",22.658566363412746,54.4 t/d,assumption 5-20 kWh/t
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.35,G_other,other (5 % of B-F),39.63756943403417,,assumption
