T_K,tau_s,P_bar,Y_CH4,X_COx,Y_Csolid,dy_Y_CH4_dk_meth,dy_Y_CH4_dEa_meth,dy_Y_CH4_dk_carb,dy_Y_CH4_dEa_carb,dy_Y_CH4_dk_crack,dy_Y_CH4_dEa_crack,dy_Y_CH4_dn,dy_X_COx_dk_meth,dy_X_COx_dEa_meth,dy_X_COx_dk_carb,dy_X_COx_dEa_carb,dy_X_COx_dk_crack,dy_X_COx_dEa_crack,dy_X_COx_dn,dy_Y_Csolid_dk_meth,dy_Y_Csolid_dEa_meth,dy_Y_Csolid_dk_carb,dy_Y_Csolid_dEa_carb,dy_Y_Csolid_dk_crack,dy_Y_Csolid_dEa_crack,dy_Y_Csolid_dn,wall_s
600.0,1.0,1.01325,0.00019240968352541156,0.0001924096835257405,0.0,5.0527158032318106e-05,-7.791766415341233e-05,0.0001521176693173657,-0.00025805730932920934,-1.0258544641985858e-05,2.5320591343396052e-05,0.0,5.052715802977836e-05,-7.791766424014579e-05,0.00015211766930256498,-0.00025805730933525783,-1.0258544588803709e-05,2.5320591334754283e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9863998889923096
600.0,1.0,5.0,0.02777374377283003,0.027773743772829484,0.0,0.024512022761343042,-0.03779811284105135,0.0020392304211834696,-0.0034594097937773976,-0.0013701892281031691,0.003381942043688673,0.0391472035053194,0.024512022761288832,-0.037798112841153086,0.0020392304211608314,-0.003459409793868384,-0.0013701892280199024,0.003381942043687025,0.039147203505290884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.940721273422241
600.0,3.0,1.01325,0.0005769927441263155,0.0005769927441255929,0.0,0.00015140192945008245,-0.0002334760716136264,0.0004560364425046235,-0.0007736347159203614,-3.07520688880476e-05,7.590360756661876e-05,0.0,0.00015140192939633312,-0.00023347607154278194,0.0004560364425088004,-0.0007736347159198464,-3.075206897185101e-05,7.590360750209246e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.965606212615967
600.0,3.0,5.0,0.07041456072840786,0.07041456072841012,0.0,0.05246191870326433,-0.08089368823636298,0.0049650099062052006,-0.008422770977675742,-0.0030900137344695017,0.007626816706721855,0.08374207952254409,0.05246191870320327,-0.08089368823644416,0.004965009906321427,-0.008422770977650762,-0.00309001373434703,0.007626816706671202,0.08374207952254298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9665520191192627
600.0,10.0,1.01325,0.001920557056426902,0.0019205570564270191,0.0,0.000502586254910194,-0.0007750349283143422,0.0015164354852165683,-0.002572527258268899,-0.00010223264610925795,0.00025233507667733095,0.0,0.0005025862548996285,-0.0007750349283713877,0.0015164354851882056,-0.0025725272583404513,-0.00010223264625408568,0.00025233507664479404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9732558727264404
600.0,10.0,5.0,0.15556153791086408,0.15556153791086336,0.0,0.07798052350920445,-0.12023837302308078,0.010801596431200128,-0.018324085678507462,-0.005318567212126563,0.013127299611563613,0.12443406776915938,0.07798052350915796,-0.12023837302309325,0.010801596431186944,-0.018324085678525504,-0.005318567212050929,0.013127299611651044,0.12443406776912913,0.0,1.9102684970073857e-20,0.0,0.0,1.9102684970073854e-20,0.0,-7.641073988029542e-21,2.9037280082702637
625.0,1.0,1.01325,0.0004822816132092615,0.0004822816132070695,0.0,0.00011924064599333224,-8.825182818408074e-05,0.0003971722946828548,-0.0003233477742658477,-3.4330722873655796e-05,4.065672201076983e-05,0.0,0.0001192406460598372,-8.825182823135602e-05,0.0003971722946305434,-0.0003233477742031754,-3.433072288672179e-05,4.065672198627634e-05,0.0,0.0,0.0,0.0,0.0,1.1939178106296158e-21,0.0,0.0,3.0125389099121094
625.0,1.0,5.0,0.058436022673653006,0.058436022673653,0.0,0.0456954588898122,-0.033820823312763135,0.00516445784224176,-0.0042045160137553494,-0.003533785426415581,0.004184938642328231,0.07294980348551486,0.04569545888980231,-0.033820823312799564,0.00516445784233821,-0.0042045160139114746,-0.0035337854264738677,0.004184938642351477,0.0729498034854903,-4.7756712425184634e-21,0.0,4.7756712425184634e-21,0.0,0.0,0.0,0.0,2.9599339962005615
625.0,3.0,1.01325,0.0014453910844258384,0.0014453910844283158,0.0,0.000356696299014074,-0.00026399643375414877,0.0011894433966656588,-0.0009683553549331613,-0.00010279862958724635,0.00012174096323060743,0.0,0.00035669629903645195,-0.00026399643379138027,0.0011894433967207796,-0.0009683553548273105,-0.00010279862961981578,0.00012174096324091277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.941711187362671
625.0,3.0,5.0,0.1282367089428454,0.12823670894284567,0.0,0.07377002748110845,-0.05460050069069008,0.010766076010153974,-0.008764937950461044,-0.00637111316794739,0.007545082364449757,0.11771940218038263,0.07377002748111816,-0.05460050069063804,0.010766076010224057,-0.008764937950475615,-0.006371113167982778,0.007545082364446287,0.11771940218035848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.962082862854004
