stage,feed,T_K,tau_s,P_bar,Y_CH4,X_COx,Y_Csolid,dy_Y_CH4_dk_meth,dy_Y_CH4_dEa_meth,dy_Y_CH4_dk_carb,dy_Y_CH4_dEa_carb,dy_Y_CH4_dk_crack,dy_Y_CH4_dEa_crack,dy_Y_CH4_dn,dy_X_COx_dk_meth,dy_X_COx_dEa_meth,dy_X_COx_dk_carb,dy_X_COx_dEa_carb,dy_X_COx_dk_crack,dy_X_COx_dEa_crack,dy_X_COx_dn,dy_Y_Csolid_dk_meth,dy_Y_Csolid_dEa_meth,dy_Y_Csolid_dk_carb,dy_Y_Csolid_dEa_carb,dy_Y_Csolid_dk_crack,dy_Y_Csolid_dEa_crack,dy_Y_Csolid_dn,X_CO2,dy_X_CO2_dk1_ref,dy_X_CO2_dEa1,dy_X_CO2_dk2_ref,dy_X_CO2_dEa2,dy_Y_CH4_dk1_ref,dy_Y_CH4_dEa1,dy_Y_CH4_dk2_ref,dy_Y_CH4_dEa2
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",600.0,1.0,1.01325,4.1080615094994544e-05,5.1971426558328204e-05,1.089081146149644e-05,5.992359882006458e-08,-9.240787303666068e-08,-1.794366230765471e-08,3.0438918204554744e-08,4.0992611912644134e-05,-0.00010116805199221565,0.0,5.996041441136413e-08,-9.246464149903488e-08,5.190303855318046e-05,-8.80462667940396e-05,-1.772816615730477e-08,4.3752143574771196e-08,0.0,3.678096878547462e-11,-5.6719740022641036e-11,5.192098220552023e-05,-8.807670570160847e-05,-4.1010339959112716e-05,0.00010121180410119305,0.0,,,,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",600.0,1.0,5.0,0.0002384937480828099,0.0002906174499075487,5.2123701823413955e-05,3.484079203685422e-05,-5.372773346216019e-05,-5.760298125154825e-07,9.771532216111946e-07,0.0002023544255586302,-0.0004993993928321859,5.567000934724543e-05,3.4943254945130064e-05,-5.388574060016804e-05,0.0002550261180123137,-0.00043261595585597496,-6.769364069292294e-07,1.670641650020066e-06,5.5833728307419506e-05,1.0246280610232692e-07,-1.5800713544590796e-07,0.0002556021478564318,-0.0004335931090171157,-0.00020303136199660777,0.0005010700345183843,1.637189745306054e-07,,,,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",600.0,3.0,1.01325,0.0001229499281994195,0.00015573679830072074,3.278687010088642e-05,1.7843401884284882e-07,-2.7516218606752057e-07,-1.6095779554027925e-07,2.7304233634194044e-07,0.0001225034763470896,-0.00030233254284110507,0.0,1.787625436566742e-07,-2.7566876004136986e-07,0.00015546157472456912,-0.0002637187921011863,-1.591363096853371e-07,3.927411729165442e-07,0.0,3.284476831746171e-10,-5.06497489654071e-10,0.00015562253259007651,-0.0002639918343668793,-0.00012266261261509442,0.00030272528400999635,0.0,,,,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",600.0,3.0,5.0,0.000704315350611607,0.0008638935002410753,0.00015957814962936316,9.979617325748212e-05,-0.00015389455340961806,-5.052313914067773e-06,8.570516525871507e-06,0.0005931227773563582,-0.0014637731989781983,0.00015945377815837383,0.00010067375283695501,-0.00015524785861031898,0.0007574253506253958,-0.0012848634905943124,-5.931845079021336e-06,1.4639269524385769e-05,0.00016085596482140474,8.775795530115778e-07,-1.353305074845376e-06,0.0007624776644712381,-0.0012934340071170459,-0.0005990546224349763,0.0014784124685046929,1.402186655386742e-06,,,,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",600.0,10.0,1.01325,0.0004064566714600849,0.0005170625745042345,0.00011060590304437198,5.794799086595876e-07,-8.936129801813365e-07,-1.7678247299872775e-06,2.9988627057696564e-06,0.0004028794238489575,-0.0009942761898941229,0.0,5.830308513754545e-07,-8.990889421855996e-07,0.000515334144821078,-0.0008741911746129594,-1.752129946686054e-06,4.324150854051467e-06,0.0,3.55096218847674e-09,-5.4759204535701454e-09,0.000517101969548558,-0.0008771900373151305,-0.0004046315538408707,0.0009986003407245851,0.0,,,,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",600.0,10.0,5.0,0.0022259654032233565,0.002791976231346638,0.0005660108281238584,0.00028417342371491166,-0.000438217099315815,-5.146745266991059e-05,8.730636751920484e-05,0.0018282537710508388,-0.004511761057150872,0.0004540110663977864,0.00029239946886805424,-0.0004509022719978439,0.0024401512591087915,-0.004139343325579303,-6.0283789743431626e-05,0.0001487688957330091,0.00046715326271318247,8.226045155709425e-06,-1.2685172720501873e-05,0.002491618711827418,-0.004226649693161684,-0.001888537560783255,0.004660529952950016,1.314219632183298e-05,,,,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",625.0,1.0,1.01325,7.810697140711976e-05,0.00013068205116295584,5.2575079756611286e-05,1.3862133772298967e-07,-1.0259576577410963e-07,-8.694894345465695e-08,7.078801288799245e-08,7.78576417334838e-05,-9.220303651763384e-05,0.0,1.3872007986748258e-07,-1.0266873184949787e-07,0.00013047685088196648,-0.0001062255217565422,-8.475128376872476e-08,1.0036677322577957e-07,0.0,9.871477719719957e-11,-7.306031915387109e-11,0.00013056379983332733,-0.00010629630979378274,-7.79423929853331e-05,9.230340333447046e-05,0.0,,,,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",625.0,1.0,5.0,0.000468023435943789,0.0007206185066019888,0.00025259507065997087,7.885093245061476e-05,-5.835883813675851e-05,-2.8919853981647413e-06,2.354462150956215e-06,0.0003838947053039492,-0.0004546275252586464,0.0001259887704684634,7.909789736249007e-05,-5.8541620948093787e-05,0.0006376273189029336,-0.0005191136552451514,-3.13380120464668e-06,3.711206092438246e-06,0.00012638336757686552,2.4696500398641193e-07,-1.8278283821129403e-07,0.0006405193042542072,-0.0005214681173902237,-0.00038702850654737645,0.0004583387314369826,3.9459712230323265e-07,,,,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",625.0,3.0,1.01325,0.00023310896003924362,0.00039108899638218286,0.00015798003634258563,4.0952282322976653e-07,-3.0309409181081336e-07,-7.770567656485065e-07,6.326277459104324e-07,0.00023168086444301945,-0.00027436830456254693,0.0,4.103918926912087e-07,-3.037373658143494e-07,0.0003900304498705154,-0.00031753674392953624,-7.584828320972292e-07,8.982343785435276e-07,0.0,8.691161065301194e-10,-6.432460826196005e-10,0.00039080750647846666,-0.0003181693717542167,-0.0002324393473014533,0.00027526653892318557,0.0,,,,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",625.0,3.0,5.0,0.0013564921296139805,0.002120557554378122,0.0007640654247633262,0.0002148368181763608,-0.00015900446638493775,-2.4606044022066958e-05,2.003262590181249e-05,0.0010973121393009365,-0.0012994898463279962,0.00034324721196268143,0.00021675102903073729,-0.00016042120917214575,0.001870327729575072,-0.0015226972752052648,-2.6678894474163606e-05,3.1594438468229846e-05,0.00034630542240399187,1.9142108107373518e-06,-1.4167427648951233e-06,0.0018949337736150688,-0.001542729901125178,-0.001123991033777797,0.0013310842848177989,3.0582104867189937e-06,,,,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",625.0,10.0,1.01325,0.0007631423104970782,0.0012925807267600842,0.0005294384162628019,1.2939795624757056e-06,-9.576940347011268e-07,-8.42525499245711e-06,6.859284451443313e-06,0.0007507549136321912,-0.0008890808630035223,0.0,1.3029175738310528e-06,-9.643092824251909e-07,0.0012839686936522154,-0.001045322119375136,-8.26402093978551e-06,9.786668561662104e-06,0.0,8.938064427043563e-09,-6.615198062183587e-09,0.0012923939486718101,-0.0010521814038703485,-0.0007590189346349824,0.0008988675315772598,0.0,,,,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",625.0,10.0,5.0,0.004039766948821287,0.0066387468907253,0.002598979941903159,0.0005215593769766899,-0.0003860170811176896,-0.00022796289143808563,0.0001855930409363528,0.003128134138981006,-0.0037044644734068395,0.0008331649572675646,0.0005338797070764123,-0.00039513567237081654,0.0057897274659296505,-0.004713625129737498,-0.0002483381660950412,0.0002940925407146633,0.0008528421147990795,1.2320330048797446e-05,-9.118591238685414e-06,0.006017690357365416,-0.004899218170733763,-0.003376472305088884,0.003998557014154875,1.9677157528956088e-05,,,,,,,,,
