T_K,Y_CH4_max,X_COx_max,Y_Csolid_max,trace_F_P7,trace_F_P3,F_k_methk_meth,F_Ea_methEa_meth,F_k_carbk_carb,F_Ea_carbEa_carb,F_k_crackk_crack,F_Ea_crackEa_crack,F_nn
600.0,0.15556153791086408,0.15556153791086336,0.0,283.74764766387307,279.4691133759999,47.17166144561749,112.15206869727359,0.7400747757264559,2.1298285188033703,0.1986213151522972,1.2100096781910539,120.14538323310882
625.0,0.2310850571609955,0.23108505716099703,3.820536994014771e-22,275.8189660852963,269.2531808264323,65.76061418263703,36.02440134947817,3.033563320407792,2.010645294902193,0.6333347690201874,0.888241874533896,167.4681652943171
650.0,0.3027582903027446,0.3027582903027476,9.551342485036928e-23,268.02258569060746,254.87922995281076,71.88783672693117,0.0,11.389541670321336,0.0,1.7538140674753744,0.0,182.9913932258796
675.0,0.37466180955933,0.3746618095593307,0.0,338.35904992252006,259.34558277424884,64.6683471577627,30.372258016134417,42.8903291969961,24.370768040456053,5.3361852731940775,6.41618463762497,164.30497760035172
700.0,0.4646156722691348,0.46461567226912814,0.0,1043.8594082693485,263.56269815479504,50.05466054732878,87.43478647369324,195.4916190090144,413.83286516457616,31.131566919802673,139.84065902115995,126.07325113377306
725.0,0.5365895751405786,0.5570426875004963,0.020453112359915166,1537.134223455144,195.48725896228362,26.614399085468374,100.50325269671622,206.14604218348325,948.883599988474,17.28756762734566,169.32975469355733,68.36960718009902
750.0,0.4869992247131021,0.6453464495205975,0.15834722480749483,4968.999929213568,116.31053818385311,13.84460953814445,80.83541106718864,515.774412494108,3831.185916083983,30.498884635730345,475.2301778158933,21.630517578520006
775.0,0.45470071480837776,0.7266115998791368,0.2951273466731338,10651.182889572945,139.09397380111315,13.160773162223535,116.54098811236312,774.2420283528697,8266.062362713381,58.91103971763606,1412.8734849879452,9.392212526526503
800.0,0.40626077443906655,0.7556630722703876,0.37644358397693134,12488.099175219186,309.13458198526445,21.462236499394468,284.0473127263772,677.1772126855238,10559.52670477515,45.74293628567773,896.5177394875698,3.6250327594927905
825.0,0.3445698671085785,0.7371719363091389,0.5775726630157109,13566.606541002318,363.2453433048789,22.05509513384486,340.7432069536348,632.7464272299183,11715.670073874975,19.98838296785778,834.9563136246867,0.44704121739917907
850.0,0.2695365929813108,0.7051041228811825,0.6745483520938506,11074.274607083862,296.6738144709152,14.890958429309682,281.7500313694484,430.364281070082,9863.696243586017,9.671993850764064,473.868274106084,0.032824672157108596
