parameter_set,n_T,temperatures,n_points,logdet_F,cond_number,rel_se_k_meth,rel_se_Ea_meth,rel_se_n,rel_se_k_carb,rel_se_Ea_carb,rel_se_k_crack,rel_se_Ea_crack
"P3 (k_meth, Ea_meth, n)",4,600/625/800/825,24,13.23874902031572,476.94880047031023,0.583657480907978,0.1467007894470658,0.46043556337037167,,,,
"P3 (k_meth, Ea_meth, n)",4,650/725/750/775,24,13.229198123423231,85.25073168987876,0.34714222588961335,0.09011073264904833,0.19876418550576544,,,,
"P3 (k_meth, Ea_meth, n)",4,600/775/800/850,24,13.223574993686936,244.37728805159392,0.41997115350160746,0.10222101658276646,0.34268017321651684,,,,
"P3 (k_meth, Ea_meth, n)",4,600/625/775/850,24,13.223075609058704,253.56322915976722,0.4871029322976957,0.11325170210224175,0.3725128934224519,,,,
"P3 (k_meth, Ea_meth, n)",4,650/750/800/850,24,13.222479691632174,240.20003371196177,0.49051242741593337,0.12173029127303979,0.29471365817418504,,,,
"P3 (k_meth, Ea_meth, n)",4,675/725/800/825,24,13.203391582990953,326.9713091672733,0.5318787914075734,0.13805887999167182,0.25074841798546726,,,,
"P3 (k_meth, Ea_meth, n)",4,625/775/800/850,24,13.196981472786192,273.64806750054174,0.48540247564472677,0.12060573001715764,0.347736912701323,,,,
"P3 (k_meth, Ea_meth, n)",4,625/650/675/850,24,13.1942281995149,345.4553850516087,0.5774972313192018,0.12012203027746525,0.3660053118172981,,,,
"P3 (k_meth, Ea_meth, n)",4,625/650/775/850,24,13.191530776597187,218.91840220991344,0.5337830975117827,0.12673324560175636,0.358654168600484,,,,
"P3 (k_meth, Ea_meth, n)",4,650/675/775/800,24,13.174986325025523,248.43358072859095,0.5265482059299051,0.14015821616714558,0.3011871646075649,,,,
"P3 (k_meth, Ea_meth, n)",4,650/700/725/775,24,13.16600717574434,137.11224806196373,0.38414528655687635,0.09295054375478716,0.2171628132137487,,,,
"P3 (k_meth, Ea_meth, n)",4,650/675/775/825,24,13.13884733975167,304.1521352475002,0.5719109715318201,0.14780983377437795,0.3285038483206036,,,,
"P3 (k_meth, Ea_meth, n)",4,650/750/825/850,24,13.135002493057351,304.28826833306454,0.5315357473719159,0.1299370389183039,0.320856233587831,,,,
"P3 (k_meth, Ea_meth, n)",4,650/750/775/850,24,13.130046021000695,152.02341241911486,0.44547803132541336,0.11059067093110313,0.26611048380864993,,,,
"P3 (k_meth, Ea_meth, n)",4,600/625/675/750,24,13.128082789594286,220.58619874142872,0.47769633523920707,0.06895301420072059,0.30814673505768736,,,,
"P3 (k_meth, Ea_meth, n)",4,600/625/650/850,24,13.098079439866254,398.7430263610331,0.5812094845793913,0.11990144688299895,0.41154452736567326,,,,
"P3 (k_meth, Ea_meth, n)",4,675/725/750/825,24,13.090836193200548,208.3259250106161,0.4688120836282458,0.12349074671791321,0.22073972037276726,,,,
"P3 (k_meth, Ea_meth, n)",4,600/625/650/775,24,13.082834376357885,222.32312126750185,0.4466990151017827,0.09508508136095244,0.3081249787612431,,,,
"P3 (k_meth, Ea_meth, n)",4,675/725/800/850,24,13.07705247184216,315.0686670986794,0.5401970532463024,0.13456891824173942,0.25901283561949084,,,,
"P3 (k_meth, Ea_meth, n)",4,650/700/750/775,24,13.07639039340308,124.05661534612258,0.39060268435212475,0.10156584872783618,0.22042480888156085,,,,
"P3 (k_meth, Ea_meth, n)",4,625/650/800/850,24,13.073604406347947,412.82076175783885,0.6613302450878515,0.16003732528147743,0.4487900326553506,,,,
"P3 (k_meth, Ea_meth, n)",4,600/650/675/750,24,13.07238986358693,219.54501560521447,0.4789150984463238,0.07225929450834184,0.304515779317657,,,,
"P3 (k_meth, Ea_meth, n)",4,650/675/750/850,24,13.070714797251,245.92252935035845,0.531573813797461,0.12446742422363914,0.3066479988878313,,,,
"P3 (k_meth, Ea_meth, n)",4,650/675/725/775,24,13.069557843974003,151.51084503840346,0.4028590580723169,0.10047482884702218,0.23138948674644744,,,,
"P3 (k_meth, Ea_meth, n)",4,675/725/775/825,24,13.060459103857218,234.95209732025822,0.4926611679099892,0.1307333448102019,0.23184743149116488,,,,
"P3 (k_meth, Ea_meth, n)",4,650/675/800/825,24,13.052908902958828,528.6261550934342,0.6927725897245945,0.17707494549881125,0.3994407208412546,,,,
"P3 (k_meth, Ea_meth, n)",4,675/725/825/850,24,13.04269242053229,376.97623036711224,0.5748524936004749,0.14028315750562306,0.276961614844337,,,,
"P3 (k_meth, Ea_meth, n)",4,625/650/675/775,24,13.038044456934136,216.86644371463152,0.4565359844403199,0.10246227610989345,0.288357873041917,,,,
"P3 (k_meth, Ea_meth, n)",4,675/700/725/825,24,13.028196155399474,332.39280914343794,0.5450160628385469,0.13954336744032195,0.25447408294586416,,,,
"P3 (k_meth, Ea_meth, n)",4,650/775/800/825,24,13.027802300437015,367.12396889704775,0.5644889975438221,0.1476481895122266,0.34427846763299697,,,,
"P3 (k_meth, Ea_meth, n)",4,600/775/825/850,24,13.02539116238009,335.41321093258773,0.47209386619478655,0.11451260065704547,0.389764119238403,,,,
"P3 (k_meth, Ea_meth, n)",4,625/650/700/750,24,13.020267232254497,214.0261014194544,0.46630318002967,0.0778041462758434,0.29234614570216144,,,,
"P3 (k_meth, Ea_meth, n)",4,625/675/700/750,24,13.017898147172012,211.2473403763585,0.46037688004282634,0.07722994233613734,0.28482168999444274,,,,
"P3 (k_meth, Ea_meth, n)",4,625/775/825/850,24,13.00919179399969,378.3079701607418,0.5477073739368411,0.13483561999849972,0.3950834665164796,,,,
"P3 (k_meth, Ea_meth, n)",4,600/625/800/850,24,13.00817724918711,508.15433625990045,0.6236512802988854,0.14989293002670603,0.487810942520122,,,,
"P3 (k_meth, Ea_meth, n)",4,675/725/750/800,24,13.00631318836059,184.13639341337503,0.45218268039504006,0.12424281996831234,0.2112486401243158,,,,
"P3 (k_meth, Ea_meth, n)",4,675/725/775/800,24,12.999241566663592,206.56858986257242,0.4747793720184057,0.130760290693362,0.22126396454659814,,,,
"P3 (k_meth, Ea_meth, n)",4,650/675/700/850,24,12.997332136646385,391.0540044708439,0.5993398522894445,0.12939942668302057,0.33596348486920696,,,,
"P3 (k_meth, Ea_meth, n)",4,600/625/700/725,24,12.956514459486257,355.96226923843346,0.6183116295267279,0.05469916392359461,0.38783627450750935,,,,
"P3 (k_meth, Ea_meth, n)",4,675/700/725/800,24,12.950623927423788,290.01779679401255,0.5176778859589493,0.13856498250568136,0.24000390000237307,,,,
"P3 (k_meth, Ea_meth, n)",4,650/675/775/850,24,12.92090530820381,308.71691105466687,0.5959691724379053,0.14489650505497892,0.34484463628903367,,,,
"P3 (k_meth, Ea_meth, n)",4,650/775/800/850,24,12.911564063470175,347.28078279655574,0.5733531635451808,0.1450123899410068,0.35090619229590414,,,,
"P3 (k_meth, Ea_meth, n)",4,675/725/775/850,24,12.89073335758615,226.32080436532613,0.5018172362371256,0.12618478479506362,0.24200609157035438,,,,
"P3 (k_meth, Ea_meth, n)",4,675/725/750/850,24,12.879244214251589,206.36519557894658,0.48337032119602585,0.11936515351758012,0.23438392041344056,,,,
"P3 (k_meth, Ea_meth, n)",4,650/675/800/850,24,12.87837927617047,529.0736944514077,0.7199330676772451,0.17602808201016384,0.4171833736843568,,,,
"P3 (k_meth, Ea_meth, n)",4,600/675/700/725,24,12.85249348495522,369.9166249908175,0.6032771897304203,0.05899949245869498,0.3771767700515808,,,,
"P3 (k_meth, Ea_meth, n)",4,600/650/700/725,24,12.852059781436743,372.4612708986062,0.6156641635411677,0.05887686718455929,0.3855008644423606,,,,
"P3 (k_meth, Ea_meth, n)",4,650/675/750/775,24,12.8493552766665,154.80443326582824,0.43346553059808496,0.11832387062810323,0.2490777270184685,,,,
"P3 (k_meth, Ea_meth, n)",4,675/700/750/825,24,12.795837006421001,353.6745365396398,0.5879644184728571,0.15432297844271228,0.279135879066449,,,,
"P3 (k_meth, Ea_meth, n)",4,675/750/800/825,24,12.785738173209278,393.5779694104039,0.596594463099201,0.15725259701929128,0.29559778222666067,,,,
"P3 (k_meth, Ea_meth, n)",4,650/700/725/750,24,12.78089242811215,160.56500655160923,0.41024195976497657,0.09204924378849653,0.24186791428874713,,,,
"P3 (k_meth, Ea_meth, n)",4,600/625/650/750,24,12.766279450731776,267.26406036286977,0.4983787090369421,0.08326144200390521,0.32832808862272483,,,,
"P3 (k_meth, Ea_meth, n)",4,675/700/725/850,24,12.747282063092886,354.2380351092584,0.5766908630686923,0.13568526437494247,0.27849572390864813,,,,
"P3 (k_meth, Ea_meth, n)",4,650/775/825/850,24,12.740421813562627,474.6978090348279,0.6454917402850933,0.16088897771905047,0.3973264439751437,,,,
"P3 (k_meth, Ea_meth, n)",4,675/700/750/800,24,12.739171926255441,304.34262561055164,0.5566283015705504,0.15255199181586496,0.26148095787331527,,,,
"P3 (k_meth, Ea_meth, n)",4,650/675/700/775,24,12.730269582153287,237.16178228221048,0.4749293561831256,0.11805431315494798,0.2690317496828764,,,,
"P3 (k_meth, Ea_meth, n)",4,675/750/775/825,24,12.72133626064585,258.762349917672,0.5364910583792115,0.14497285084975076,0.26361149530194067,,,,
"P3 (k_meth, Ea_meth, n)",4,625/650/825/850,24,12.69994104049637,712.211653508674,0.8290515153466547,0.19852142596694636,0.5644612084209378,,,,
"P3 (k_meth, Ea_meth, n)",4,650/675/725/750,24,12.692164212873939,173.0670949169361,0.42497460691667277,0.09801217730846493,0.25255565718587986,,,,
"P3 (k_meth, Ea_meth, n)",4,675/750/800/850,24,12.685759720894563,367.1799388305555,0.5987253233070904,0.15211634612539812,0.3009534173617853,,,,
"P3 (k_meth, Ea_meth, n)",4,675/750/775/800,24,12.682592644518065,222.11119547251434,0.514239120389591,0.14401707154555118,0.24954557130430607,,,,
"P3 (k_meth, Ea_meth, n)",4,600/625/675/725,24,12.670771882069907,455.94958549241335,0.6710426708750825,0.060342379165102045,0.42070792523425327,,,,
"P3 (k_meth, Ea_meth, n)",4,675/700/775/825,24,12.668831272198043,441.5395315971864,0.6525787257020909,0.1728459635740362,0.30955882641769344,,,,
"P3 (k_meth, Ea_meth, n)",4,675/700/800/825,24,12.66234960676774,708.7960618168233,0.7651589497690334,0.19828021403366478,0.36463155328703023,,,,
"P3 (k_meth, Ea_meth, n)",4,625/650/675/750,24,12.652631955177371,263.01650861892864,0.5004551438569635,0.09340425559388786,0.31482575546694885,,,,
"P3 (k_meth, Ea_meth, n)",4,675/700/775/800,24,12.648259970463162,373.6007142531658,0.6137245949666663,0.16886621215975858,0.287700272285906,,,,
"P3 (k_meth, Ea_meth, n)",4,675/750/825/850,24,12.605689527275945,460.54474225441106,0.6492762279880709,0.16163474983159865,0.3286442789158522,,,,
"P3 (k_meth, Ea_meth, n)",4,650/675/825/850,24,12.60008151808808,806.3813421186294,0.8649755978215181,0.20815331097611744,0.5027592842664592,,,,
"P3 (k_meth, Ea_meth, n)",4,675/750/775/850,24,12.586736512822945,238.49304446051096,0.5384426717263071,0.13891114351016434,0.26996553758578434,,,,
