series,h_H2_split,value_type,fixation_pct,C_from_CO2_tpd,C_total_tpd,C_stage1_tpd,C_stage3_tpd,converged,iterations
"Once-through, equilibrium",0.35,equilibrium,52.02644376871547,12.464294530569926,47.31595618425595,34.85150348488499,12.464452699370964,True,1
"Once-through, equilibrium",0.5,equilibrium,48.24578170746345,11.558538110594649,46.41018162200502,34.85150348488499,11.558678137120022,True,1
"Once-through, equilibrium",0.75,equilibrium,36.94399794593906,8.8509003917706,43.70250121894985,34.85150348488499,8.85099773406485,True,1
"Recycle, equilibrium",0.35,equilibrium,90.3241325304174,21.63950694155145,57.5550234782261,35.58040458684029,21.9746188913858,True,131
"Recycle, equilibrium",0.5,equilibrium,94.8121479711084,22.71472835317052,58.64821141945664,37.66114360574277,20.987067813713868,True,109
"Recycle, equilibrium",0.75,equilibrium,98.77890136345798,23.665067815774982,59.598552439314936,57.12613205289213,2.472420386422807,True,85
"Recycle, kinetic design case, 1 atm (uncalibrated)",0.35,kinetic,1.49421697495669,0.3579787338768042,36.28066865870685,36.09811242747662,0.1825562312302291,True,307
"Recycle, kinetic design case, 1 atm (uncalibrated)",0.5,kinetic,2.98010268624884,0.7139614957708127,36.63665142508202,36.40344949177478,0.233201933307243,True,312
"Recycle, kinetic design case, 1 atm (uncalibrated)",0.75,kinetic,10.26423606633109,2.4590660478504587,38.38175596415938,38.38150481421618,0.0002511499432057,True,85
"Recycle, kinetic, Stage 2/3 at 5 bar, n = 1 (uncalibrated)",0.35,kinetic,5.41829169205535,1.298093404241638,37.2207833315231,36.38395572470724,0.8368276068158587,True,307
"Recycle, kinetic, Stage 2/3 at 5 bar, n = 1 (uncalibrated)",0.5,kinetic,9.535838793248159,2.2845594414152717,38.20724937556296,37.16277811246832,1.0444712630946336,True,309
"Recycle, kinetic, Stage 2/3 at 5 bar, n = 1 (uncalibrated)",0.75,kinetic,23.05773782103037,5.524083804144278,41.44677373102449,41.44508966414189,0.0016840668826053,True,89
