 T3_K  phi  h_H2_to_CFR  r_CH4  purge_p  converged  iterations       method  C_total_tpd  C_from_CO2_total_tpd  C_from_CO2_total_tpd_mixing_tracer_upper  fresh_CO2_carbon_fixed_fraction  purge_carbon_tpd  H2_net_exportable_tpd  water_total_tpd  Q1_kW  Q2_kW  Q3_kW  S1_inlet_CH4_ratio_vs_fresh  S2_inlet_ratio_vs_once  closure_C_rel
  550  NaN          0.5   0.95     0.05       True          24       direct        47.37                 11.43                                     11.43                           0.9973           0.03396                  10.72            34.35   4119 -456.4  -1566                        1.359                   1.638              0
  550  NaN          0.5   0.95     0.02       True          24       direct        47.39                 11.45                                     11.45                           0.9989            0.0136                  10.73            34.37   4121   -467  -1556                         1.36                   1.664      4.609e-16
  550  NaN          0.5   0.95     0.01       True          23       direct        47.39                 11.46                                     11.46                           0.9995          0.006806                  10.73            34.38   4122 -470.7  -1552                         1.36                   1.673     -5.762e-16
  550  NaN          0.5   0.99      0.2       True          24       direct        47.37                 11.44                                     11.44                           0.9979           0.02608                  10.73            34.24   4120 -458.1  -1564                        1.359                   1.535      3.111e-15
  550  NaN          0.5   0.99      0.1       True          23       direct        47.39                 11.45                                     11.45                            0.999           0.01306                  10.73            34.31   4121   -490  -1533                         1.36                   1.602       2.65e-15
  550  NaN          0.5   0.99     0.05       True          24       direct        47.39                 11.46                                     11.46                           0.9995          0.006531                  10.73            34.35   4122 -508.4  -1516                         1.36                   1.641      1.844e-15
  550  NaN          0.5   0.99     0.02       True          24       direct         47.4                 11.46                                     11.46                           0.9998          0.002613                  10.73            34.37   4122 -520.2  -1504                         1.36                   1.666      1.959e-15
  550  NaN          0.5   0.99     0.01       True          23       direct         47.4                 11.46                                     11.46                           0.9999          0.001307                  10.74            34.38   4122 -524.3  -1501                         1.36                   1.675      1.268e-15
  550  NaN         0.75      0        1       True           1 once-through        34.85                     0                                         0                                0             12.55                  6.524             33.5   3031 -196.4  -1812                            1                     NaN      6.914e-16
  550  NaN         0.75    0.9      0.2       True          38       direct        47.12                 11.21                                     11.21                           0.9776            0.2811                  10.64            34.26   4098 -649.7  -1381                        1.352                   2.139     -1.268e-15
  550  NaN         0.75    0.9      0.1       True          43       direct        47.26                 11.33                                     11.33                           0.9887            0.1421                  10.69            34.33   4110 -769.5  -1267                        1.356                   2.497     -1.037e-15
  550  NaN         0.75    0.9     0.05       True          48       direct        47.33                  11.4                                      11.4                           0.9943           0.07147                  10.71            34.36   4116 -844.7  -1195                        1.358                   2.749     -1.383e-15
  550  NaN         0.75    0.9     0.02       True          51       direct        47.37                 11.44                                     11.44                           0.9977           0.02869                  10.73            34.37   4120 -895.9  -1146                        1.359                   2.936     -1.613e-15
  550  NaN         0.75    0.9     0.01       True          49       direct        47.38                 11.45                                     11.45                           0.9989           0.01436                  10.73            34.38   4121   -914  -1129                         1.36                   3.005     -1.383e-15
  550  NaN         0.75   0.95      0.2       True          38       direct        47.26                 11.34                                     11.34                           0.9893            0.1347                  10.69            34.26   4110   -701  -1332                        1.356                   2.144     -1.729e-15
  550  NaN         0.75   0.95      0.1       True          43       direct        47.33                  11.4                                      11.4                           0.9946           0.06773                  10.71            34.33   4116 -822.8  -1216                        1.358                     2.5     -2.305e-15
  550  NaN         0.75   0.95     0.05       True          48       direct        47.37                 11.43                                     11.43                           0.9973           0.03396                  10.72            34.36   4119   -898  -1144                        1.359                   2.751     -2.305e-15
  550  NaN         0.75   0.95     0.02       True          51       direct        47.39                 11.45                                     11.45                           0.9989            0.0136                  10.73            34.37   4121 -948.8  -1095                         1.36                   2.936     -2.535e-15
  550  NaN         0.75   0.95     0.01       True          49       direct        47.39                 11.46                                     11.46                           0.9995          0.006806                  10.73            34.38   4122 -966.8  -1078                         1.36                   3.006     -2.305e-15
  550  NaN         0.75   0.99      0.2       True          38       direct        47.37                 11.44                                     11.44                           0.9979           0.02608                  10.73            34.26   4120 -739.4  -1295                        1.359                   2.148      3.227e-15
  550  NaN         0.75   0.99      0.1       True          43       direct        47.39                 11.45                                     11.45                            0.999           0.01306                  10.73            34.33   4121 -862.4  -1178                         1.36                   2.503      1.959e-15
  550  NaN         0.75   0.99     0.05       True          48       direct        47.39                 11.46                                     11.46                           0.9995          0.006531                  10.73            34.36   4122 -937.5  -1106                         1.36                   2.752      1.383e-15
  550  NaN         0.75   0.99     0.02       True          51       direct         47.4                 11.46                                     11.46                           0.9998          0.002613                  10.73            34.38   4122   -988  -1058                         1.36                   2.937      9.219e-16
  550  NaN         0.75   0.99     0.01       True          49       direct         47.4                 11.46                                     11.46                           0.9999          0.001307                  10.74            34.38   4122  -1006  -1041                         1.36                   3.006      1.037e-15
  550  NaN            1      0        1       True           1 once-through        34.85                     0                                         0                                0             12.55                  6.524             33.5   3031 -196.4  -1812                            1                     NaN      6.914e-16
  550  NaN            1    0.9      0.2       True          77       direct        47.12                 11.21                                     11.21                           0.9776            0.2811                  10.64             34.3   4098  -1135 -916.8                        1.352                   3.877     -3.342e-15
  550  NaN            1    0.9      0.1       True         148       direct        47.26                 11.33                                     11.33                           0.9887            0.1421                  10.69            34.36   4110  -1510 -557.8                        1.356                   7.166      1.268e-15
  550  NaN            1    0.9     0.05       True         289       direct        47.33                  11.4                                      11.4                           0.9943           0.07147                  10.71            34.38   4116  -1768 -309.6                        1.358                   13.74     -2.535e-15
