case,config,y_CH4_biogas,h_H2_to_CFR,CO2_carbon_fixed_fraction,C_total_tpd,heat_recovery_fraction,boundary,power_source,aux_power_kW,H2_exportable_tpd,H2_burned_for_heat_tpd,H2_after_heat_tpd,H2_for_auxiliaries_tpd,H2_net_final_tpd,self_sufficient,heat_recovery_required_for_zero_net,grid_cost_usd_y_at_0p06,grid_cost_usd_y_at_0p04,grid_cost_usd_y_at_0p08
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,0.8383980770666224,60.51831163276578,0.0,excl. upgrading (submitted boundary),H2 engine 0.40,2445.0676868376177,3.80683372648612,3.8857055037748873,-0.07887177728876749,4.402882989503512,-4.48175476679228,False,1.3689073466370103,1161896.164785236,774597.4431901573,1549194.8863803146
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,0.8383980770666224,60.51831163276578,0.0,excl. upgrading (submitted boundary),fuel cell 0.50,2445.0676868376177,3.80683372648612,3.8857055037748873,-0.07887177728876749,3.5223063916028106,-3.601178168891578,False,1.099943997041322,1161896.164785236,774597.4431901573,1549194.8863803146
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,0.8383980770666224,60.51831163276578,0.0,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,3715.176995343735,3.80683372648612,3.8857055037748873,-0.07887177728876749,6.689994589454503,-6.768866366743271,False,2.067482800820657,1765452.1081873428,1176968.0721248952,2353936.1442497903
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,0.8383980770666224,60.51831163276578,0.0,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,3715.176995343735,3.80683372648612,3.8857055037748873,-0.07887177728876749,5.3519956715636035,-5.430867448852371,False,1.658804360388239,1765452.1081873428,1176968.0721248952,2353936.1442497903
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,0.8383980770666224,60.51831163276578,0.0,incl. upgrading (high 0.45),H2 engine 0.40,4731.264442148629,3.80683372648612,3.8857055037748873,-0.07887177728876749,8.519683869415298,-8.598555646704066,False,2.626343164167574,2248296.862909029,1498864.5752726858,2997729.1505453717
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,0.8383980770666224,60.51831163276578,0.0,incl. upgrading (high 0.45),fuel cell 0.50,4731.264442148629,3.80683372648612,3.8857055037748873,-0.07887177728876749,6.815747095532239,-6.894618872821006,False,2.105892651065773,2248296.862909029,1498864.5752726858,2997729.1505453717
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,0.8383980770666224,60.51831163276578,0.25,excl. upgrading (submitted boundary),H2 engine 0.40,2445.0676868376177,3.80683372648612,3.0672142490886967,0.7396194773974232,4.402882989503512,-3.663263512106089,False,1.3689073466370103,1161896.164785236,774597.4431901573,1549194.8863803146
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,0.8383980770666224,60.51831163276578,0.25,excl. upgrading (submitted boundary),fuel cell 0.50,2445.0676868376177,3.80683372648612,3.0672142490886967,0.7396194773974232,3.5223063916028106,-2.7826869142053874,False,1.099943997041322,1161896.164785236,774597.4431901573,1549194.8863803146
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,0.8383980770666224,60.51831163276578,0.25,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,3715.176995343735,3.80683372648612,3.0672142490886967,0.7396194773974232,6.689994589454503,-5.95037511205708,False,2.067482800820657,1765452.1081873428,1176968.0721248952,2353936.1442497903
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,0.8383980770666224,60.51831163276578,0.25,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,3715.176995343735,3.80683372648612,3.0672142490886967,0.7396194773974232,5.3519956715636035,-4.61237619416618,False,1.658804360388239,1765452.1081873428,1176968.0721248952,2353936.1442497903
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,0.8383980770666224,60.51831163276578,0.25,incl. upgrading (high 0.45),H2 engine 0.40,4731.264442148629,3.80683372648612,3.0672142490886967,0.7396194773974232,8.519683869415298,-7.7800643920178745,False,2.626343164167574,2248296.862909029,1498864.5752726858,2997729.1505453717
