case,CH4_in,CO2_in,X_CH4,C_solid_tpd,CO_out,H2_out,H2O_out,Q1_kW,Q1_per_t_C_kWh
pure CH4 to Stage 1 (baseline),2991.959109892165,0.0,0.9698161069695571,34.85150348488499,0.0,5803.281028408566,0.0,3030.936066508513,2087.211693112538
"raw biogas (y=0.6) to Stage 1, no separation",2991.959109892165,1994.639406594777,0.9818265620300046,12.385790392562571,3872.1821336203734,5815.714029486409,59.44310706927384,6811.248102565916,13198.185120244128
