case,C_solid_tpd,C_from_CO2_tpd,S3_out_CO_kmol_d,S3_out_CO2_kmol_d,S3_out_CH4_kmol_d,S3_out_carbon_kmol_d,H2_surplus_kmol_d,H2_surplus_tpd,note,C_solid_extra_tpd,H2_required_for_methanation_kmol_d,H2_required_tpd,H2_returned_by_cracking_kmol_d,H2_remaining_kmol_d,H2_remaining_tpd,C_from_biogasCO2_tpd,C_from_DACCO2_tpd,H2_available_kmol_d,H2_required_kmol_d,water_tpd
"once-through design case (kinetic, tau1*=8.905 s, phi=0, h=0.35, T3=650 K)",31.36820759930369,0.0,668.5350013583536,282.16365399248764,383.9873891757455,1334.6860445265866,5790.105257695205,11.672852199513533,all values kinetic,,,,,,,,,,,
Tier-1a single-pass bound: all S3-outlet carbon -> CH4 -> Stage 1 at X_CH4 = 0.873,45.361282834249806,10.005570115230425,,,,,,,stoichiometric; S3-outlet carbon origin fractions from net-conversion tracer,13.99307523494611,3134.2596200450116,6.318667394010743,2330.043332769313,4985.888970419506,10.051552164365726,,,,,
"Tier-1b full-recycle asymptote (p->0, r->1): all fresh carbon -> solid; CO2 + 2H2 -> C + 2H2O net",47.39912168011251,11.462700811197708,,,,,,,"stoichiometric asymptote, no reactor model",,,,,5325.217726703369,10.735638937033993,8.733486332341112,2.729214478856597,7233.91821978433,1908.7004930809605,34.385239382853506
