case,config,y_CH4_biogas,CO2_bio_tpd,CO2_DAC_tpd,CO2_total_tpd,CO2_total_carbon_tpd,H2_electrolysis_tpd,value_type,mode,phi,P1_bar,P2_bar,P3_bar,pressure_order,recycle,purge_p,r_CH4,h_H2_to_CFR,converged,iterations,method,S1_X_CH4,S1_inlet_CH4_ratio_vs_fresh,S2_inlet_H2_to_CO2_ratio,S2_inlet_total_kmol_d,S2_X_CO2_per_pass,S2_xi1_RWGS_CO_formed_kmol_d,S2_xi2_CH4_formed_kmol_d,S2_methanation_to_RWGS_ratio,S3_CH4_formed_kmol_d,recycle_to_S2_total_kmol_d,C_stage1_tpd,C_stage3_tpd,C_total_tpd,C_from_wasteCH4_tpd,C_from_biogasCO2_tpd,C_from_DACCO2_tpd,C_from_CO2_total_tpd,CO2_carbon_fixed_fraction,CO2_fixed_as_CO2_tpd,purge_CO2_tpd,purge_CO_tpd,purge_CH4_tpd,purge_carbon_as_CO2_if_oxidised_tpd,H2_net_exportable_tpd,H2_permeate_tpd,H2_stoich_available_tpd,H2_stoich_needed_for_all_CO2_tpd,H2_stoich_surplus_tpd,water_total_tpd,Q1_kW,Q2_kW,Q3_kW,Q_total_kW,closure_C_rel,closure_H_rel,closure_O_rel,tracer_iterations,wall_s,five_bar
2b_y0.60 kin recycle phi=1 h=0.35 1 atm,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,kinetic,kinetic,1.0,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.35,True,307,direct,0.8728806831856029,1.150786582663332,0.6395570152899849,48030.48670775001,0.1103280954998066,1411.5922068451546,9.904349087300261,0.007016437919727566,4.744836651465391,39587.31983530174,36.09811242747662,0.18255623123022915,36.28066865870685,35.922689924830046,0.35797873387680423,0.0,0.35797873387680423,0.014942169749566985,1.3116548246760702,25.223241432416764,38.98018643245804,0.019046726231157732,86.52072495180578,9.13287199944046,8.896322970760671,10.530065193605239,8.042386087390142,2.487679106215098,26.141926366163293,3139.323597961488,554.5385990107105,-35.75936755711308,3658.1028294150856,-7.674978072692511e-08,9.136199762830679e-11,-1.2312932951805064e-07,482,92.15617394447327,False
"2b_y0.60 kin recycle phi=1 h=0.35 (1.01,5,5) bar n=1",2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,kinetic,kinetic,1.0,1.01325,5.0,5.0,1.0,True,0.05,0.95,0.35,True,307,direct,0.8728806831856021,1.1598990987777984,0.6641437039212745,46435.9407940513,0.11897735184558411,1441.927716974711,13.747019071405248,0.009533778225893099,24.772374028020522,37941.71118648564,36.38395572470724,0.8368276068158587,37.2207833315231,35.92268992728146,1.2980934042416379,0.0,1.2980934042416379,0.05418291692055354,4.7562894536067155,23.719113692166836,37.743120920604426,0.02019778089824822,83.07609122070973,8.9057411299695,8.686391238421141,10.530065193605228,8.042386087390142,2.4876791062150887,28.165536346934783,3164.182366134422,558.5064945957212,-171.5855501517854,3551.1033105783577,-7.261765412254135e-08,1.3311557928356402e-10,-1.1635869541251506e-07,459,93.99004578590393,True
2b_y0.60 kin recycle phi=1 h=0.5 1 atm,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,kinetic,kinetic,1.0,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,312,direct,0.8728806831856024,1.1605205486010255,0.8699137815560176,49238.369021304694,0.12989418736835368,1470.0293490507938,24.137848957113135,0.016419977582555804,16.00942982966893,40740.657068433575,36.40344949177478,0.233201933307243,36.63665142508202,35.922689929311204,0.7139614957708127,0.0,0.7139614957708127,0.029801026862488412,2.6159962923468236,22.023764775092243,40.18421926002053,0.020276279823287474,85.21638416090678,8.926093882436904,8.507519715233903,10.530065193605232,8.042386087390142,2.4876791062150923,27.98604030098099,3165.8776692639485,547.2220568931975,-70.88437412355776,3642.2153520335883,-7.3591090790012e-08,1.4895170345615345e-10,-1.1490475098926819e-07,477,93.66849684715271,False
"2b_y0.60 kin recycle phi=1 h=0.5 (1.01,5,5) bar n=1",2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,kinetic,kinetic,1.0,1.01325,5.0,5.0,1.0,True,0.05,0.95,0.5,True,309,direct,0.8728806831856022,1.1847274982104252,0.9025465750391607,46518.76706891079,0.14160372206362482,1503.5309822468298,27.136112696957355,0.018048256415977536,76.42119463577149,37885.40947872308,37.162778112468324,1.0444712630946336,38.20724937556296,35.922689934147684,2.2845594414152717,0.0,2.2845594414152717,0.09535838793248166,8.370758176441985,20.41756400891724,37.538484929270794,0.02333399977394845,79.46162299210313,8.587744204515129,8.20916445740963,10.53006519360523,8.042386087390142,2.4876791062150905,30.996804364671274,3231.913760828014,554.3316477612418,-329.48964159327755,3456.7557669959783,-7.025094378425365e-08,2.666349955404712e-10,-1.1006297826131825e-07,438,94.12482213973999,True
2b_y0.60 kin recycle phi=1 h=0.75 1 atm,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,kinetic,kinetic,1.0,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.75,True,85,wegstein,0.8728806831856027,1.2235797883162494,1.9515730875176553,52895.88952417337,0.19717383474121142,1530.9862708923902,125.74747454451563,0.08213494590726748,79.58328781555826,44044.81992410206,38.38150481421618,0.00025114994320571616,38.38175596415938,35.92268991630892,2.4590660478504587,0.0,2.4590660478504587,0.10264236066331098,9.010160494534246,14.842063504051215,40.6715577605362,0.02824165747152631,78.82223425918738,8.301196622529304,7.239418035293849,10.530065193605237,8.042386087390142,2.487679106215096,33.5496221461088,3337.9020587466234,349.5808448864746,-201.472148266692,3486.010755366406,-8.644687153150697e-09,2.2640445835596284e-09,-1.1583041372759336e-08,462,26.670648097991943,False
"2b_y0.60 kin recycle phi=1 h=0.75 (1.01,5,5) bar n=1",2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,kinetic,kinetic,1.0,1.01325,5.0,5.0,1.0,True,0.05,0.95,0.75,True,89,wegstein,0.8728806831856022,1.32124507060014,2.013877400496643,47254.03772479212,0.21911566241306069,1563.4987484476878,128.96027661504172,0.08248185471403754,332.2043870846122,37855.692665694834,41.44508966414189,0.0016840668826053043,41.44677373102449,35.92268992688022,5.524083804144278,0.0,5.524083804144278,0.23057737821030372,20.240563161817132,13.270808855607727,34.502351390255356,0.04057832470738615,67.59183310417268,7.7101170610661995,6.791872684474463,10.53006519360523,8.042386087390142,2.4876791062150905,38.79231247504409,3604.3310647798708,355.81681255313447,-842.0208249555461,3118.127052377459,-1.577176924752166e-09,-4.361614860357576e-09,-1.8376453661872456e-09,389,28.415823698043823,True
