tau_s,approach
1.0,0.2979855578390507
30.0,0.9988722447042266
15.5,0.9758816638077109
8.25,0.8844501456601761
11.875,0.9476394906679432
10.0625,0.9224522975502076
9.15625,0.905428389162377
8.703125,0.8954917039277087
8.9296875,0.9005902797519041
8.81640625,0.8980744931773772
8.873046875,0.8993406414466956
8.9013671875,0.8999675095211616
8.91552734375,0.9002794050276035
8.908447265625,0.9001235851014735
8.9049072265625,0.9000455792968085
