feed_case,phi_meth_to_rwgs_inlet_rate_ratio,k2_uncalibrated_mol_m3_s,tau_s,X_CO2_kinetic,X_CO2_gibbs_equilibrium,X_CO2_rwgs_only_equilibrium,approach_to_gibbs,xi1_RWGS_kmol_d,xi2_CO2_methanation_kmol_d,CO_out_kmol_d,CH4_out_kmol_d,H2O_out_kmol_d,H2_out_kmol_d,CO2_out_kmol_d,Q_RWGS_kW,Q_meth_kW,Q2_total_kinetic_kW,Q2_gibbs_equilibrium_kW
A_eq_chain,0.0,0.0,0.1,0.0541251189161196,0.8137181690916715,0.8177359176484592,0.06651580482286366,51.654320581631175,0.0,51.654320581631175,90.30897372444424,51.654320581631175,7001.6267078269375,902.6959259588489,21.085920671045447,-0.0,21.085920671045447,-196.44502096811826
A_eq_chain,0.0,0.0,0.3,0.15247839213852665,0.8137181690916715,0.8177359176484592,0.18738477021931757,145.51779112949876,0.0,145.51779112949876,90.30897372444424,145.51779112949876,6907.7632372790695,808.8324554109814,59.40212871706068,-0.0,59.40212871706068,-196.44502096811826
A_eq_chain,0.0,0.0,0.5,0.23880302913879692,0.8137181690916715,0.8177359176484592,0.2934714231653023,227.90172973322387,0.0,227.90172973322387,90.30897372444424,227.90172973322387,6825.379298675344,726.448516807256,93.03225247836656,-0.0,93.03225247836656,-196.44502096811826
A_eq_chain,0.0,0.0,1.0,0.41035671878905655,0.8137181690916715,0.8177359176484592,0.5042983361759331,391.62403574587825,0.0,391.62403574587825,90.30897372444424,391.62403574587825,6661.656992662691,562.7262107946017,159.86568514752278,-0.0,159.86568514752278,-196.44502096811826
A_eq_chain,0.0,0.0,2.0,0.6183834163462887,0.8137181690916715,0.8177359176484592,0.7599479031377301,590.1543658466247,0.0,590.1543658466247,90.30897372444424,590.1543658466247,6463.126662561944,364.1958806938553,240.90817576910035,-0.0,240.90817576910035,-196.44502096811826
A_eq_chain,0.0,0.0,3.0,0.7210503722053712,0.8137181690916715,0.8177359176484592,0.8861180683850988,688.1346004823008,0.0,688.1346004823008,90.30897372444424,688.1346004823008,6365.1464279262655,266.2156460581793,280.90489688739103,-0.0,280.90489688739103,-196.44502096811826
A_eq_chain,0.0,0.0,5.0,0.7952396768771335,0.8137181690916715,0.8177359176484592,0.9772912871846465,758.9371816864634,0.0,758.9371816864634,90.30897372444424,758.9371816864634,6294.343846722103,195.41306485401614,309.80736997706964,-0.0,309.80736997706964,-196.44502096811826
A_eq_chain,0.0,0.0,10.0,0.8171562966265715,0.8137181690916715,0.8177359176484592,1.0042252067920985,779.8533131476742,0.0,779.8533131476742,90.30897372444424,779.8533131476742,6273.427715260897,174.496933392806,318.3455887314769,-0.0,318.3455887314769,-196.44502096811826
A_eq_chain,0.0,0.0,30.0,0.8177359173916408,0.8137181690916715,0.8177359176484592,1.0049375182373697,780.4064743677178,0.0,780.4064743677178,90.30897372444424,780.4064743677178,6272.874554040849,173.94377217276215,318.5713958560853,-0.0,318.5713958560853,-196.44502096811826
A_eq_chain,0.0,0.0,100.0,0.8177359176486898,0.8137181690916715,0.8177359176484592,1.0049375185532643,780.4064746130329,0.0,780.4064746130329,90.30897372444424,780.4064746130329,6272.874553795534,173.94377192744733,318.57139595622584,-0.0,318.57139595622584,-196.44502096811826
