case_id,value_type,stream,species,kmol_d,t_d
kin_tau1-3s_phi-0.1_T3-650,kinetic,stage2_out,H2,4108.060695319778,8.281850361764672
kin_tau1-3s_phi-0.1_T3-650,kinetic,stage2_out,CH4,1256.226395716954,20.15364006648709
kin_tau1-3s_phi-0.1_T3-650,kinetic,stage2_out,H2O,613.4047330306594,11.05048626554733
kin_tau1-3s_phi-0.1_T3-650,kinetic,stage2_out,CO,594.5031722594839,16.65203385498814
kin_tau1-3s_phi-0.1_T3-650,kinetic,stage2_out,CO2,350.3962938954085,15.420590498043033
kin_tau1-3s_phi-0.1_T3-650,kinetic,recovered_water,H2O,582.7344963791264,10.497961952269963
kin_tau1-3s_phi-0.1_T3-650,kinetic,membrane_permeate,H2,2670.2394519578556,5.383202735147037
kin_tau1-3s_phi-0.1_T3-650,kinetic,cfr_feed,H2,1437.8212433619221,2.898647626617635
kin_tau1-3s_phi-0.1_T3-650,kinetic,cfr_feed,CH4,1256.226395716954,20.15364006648709
kin_tau1-3s_phi-0.1_T3-650,kinetic,cfr_feed,CO,594.5031722594839,16.65203385498814
kin_tau1-3s_phi-0.1_T3-650,kinetic,cfr_feed,CO2,350.3962938954085,15.420590498043033
kin_tau1-3s_phi-0.1_T3-650,kinetic,cfr_feed,H2O,30.670236651532946,0.552524313277366
kin_tau1-3s_phi-0.1_T3-650,kinetic,stage3_out,H2,1431.8752548896673,2.8866605138575694
kin_tau1-3s_phi-0.1_T3-650,kinetic,stage3_out,CH4,1258.1448055865685,20.18441711602532
kin_tau1-3s_phi-0.1_T3-650,kinetic,stage3_out,CO,592.7755212532776,16.603642350304305
kin_tau1-3s_phi-0.1_T3-650,kinetic,stage3_out,CO2,350.2055350319961,15.412195391223115
kin_tau1-3s_phi-0.1_T3-650,kinetic,stage3_out,H2O,32.77940538455891,0.5905209880028288
kin_tau1-3s_phi-0.1_T3-800,kinetic,stage1_out,H2,3490.366989121612,7.03657985006917
kin_tau1-3s_phi-0.1_T3-800,kinetic,stage1_out,CH4,1246.7756153313662,20.002021196761106
kin_tau1-3s_phi-0.1_T3-800,kinetic,stage1_out,C(s),1745.183494560806,20.961398953169837
kin_tau1-3s_phi-0.1_T3-800,kinetic,stage2_feed,H2,4740.366989121612,9.556579850069172
kin_tau1-3s_phi-0.1_T3-800,kinetic,stage2_feed,CH4,1246.7756153313662,20.002021196761106
kin_tau1-3s_phi-0.1_T3-800,kinetic,stage2_feed,CO2,954.3502465404804,42.0
kin_tau1-3s_phi-0.1_T3-800,kinetic,stage2_out,H2,4108.060695319778,8.281850361764672
kin_tau1-3s_phi-0.1_T3-800,kinetic,stage2_out,CH4,1256.226395716954,20.15364006648709
kin_tau1-3s_phi-0.1_T3-800,kinetic,stage2_out,H2O,613.4047330306594,11.05048626554733
kin_tau1-3s_phi-0.1_T3-800,kinetic,stage2_out,CO,594.5031722594839,16.65203385498814
kin_tau1-3s_phi-0.1_T3-800,kinetic,stage2_out,CO2,350.3962938954085,15.420590498043033
kin_tau1-3s_phi-0.1_T3-800,kinetic,recovered_water,H2O,582.7344963791264,10.497961952269963
kin_tau1-3s_phi-0.1_T3-800,kinetic,membrane_permeate,H2,2670.2394519578556,5.383202735147037
kin_tau1-3s_phi-0.1_T3-800,kinetic,cfr_feed,H2,1437.8212433619221,2.898647626617635
kin_tau1-3s_phi-0.1_T3-800,kinetic,cfr_feed,CH4,1256.226395716954,20.15364006648709
kin_tau1-3s_phi-0.1_T3-800,kinetic,cfr_feed,CO,594.5031722594839,16.65203385498814
kin_tau1-3s_phi-0.1_T3-800,kinetic,cfr_feed,CO2,350.3962938954085,15.420590498043033
kin_tau1-3s_phi-0.1_T3-800,kinetic,cfr_feed,H2O,30.670236651532946,0.552524313277366
kin_tau1-3s_phi-0.1_T3-800,kinetic,stage3_out,H2,1556.4009375029814,3.1377042900060106
kin_tau1-3s_phi-0.1_T3-800,kinetic,stage3_out,CH4,1106.901677974558,17.75802361974583
kin_tau1-3s_phi-0.1_T3-800,kinetic,stage3_out,CO,445.5690324049347,12.48038859766222
kin_tau1-3s_phi-0.1_T3-800,kinetic,stage3_out,CO2,334.8284931508152,14.735467155074225
kin_tau1-3s_phi-0.1_T3-800,kinetic,stage3_out,H2O,210.73997799526933,3.796480703584777
kin_tau1-3s_phi-0.1_T3-800,kinetic,stage3_out,C(s),313.8266583415388,3.769371993340222
kin_tau1-3s_phi-1_T3-650,kinetic,stage1_out,H2,3490.366989121612,7.03657985006917
kin_tau1-3s_phi-1_T3-650,kinetic,stage1_out,CH4,1246.7756153313662,20.002021196761106
kin_tau1-3s_phi-1_T3-650,kinetic,stage1_out,C(s),1745.183494560806,20.961398953169837
kin_tau1-3s_phi-1_T3-650,kinetic,stage2_feed,H2,4740.366989121612,9.556579850069172
kin_tau1-3s_phi-1_T3-650,kinetic,stage2_feed,CH4,1246.7756153313662,20.002021196761106
kin_tau1-3s_phi-1_T3-650,kinetic,stage2_feed,CO2,954.3502465404804,42.0
kin_tau1-3s_phi-1_T3-650,kinetic,stage2_out,H2,4146.957627750355,8.360266577544715
kin_tau1-3s_phi-1_T3-650,kinetic,stage2_out,CH4,1254.5490248279073,20.126730005314116
kin_tau1-3s_phi-1_T3-650,kinetic,stage2_out,H2O,577.8625423781772,10.410193700942862
kin_tau1-3s_phi-1_T3-650,kinetic,stage2_out,CO,562.315723385094,15.750463412016481
kin_tau1-3s_phi-1_T3-650,kinetic,stage2_out,CO2,384.26111365884555,16.910947351012137
kin_tau1-3s_phi-1_T3-650,kinetic,recovered_water,H2O,548.9694152592683,9.889684015895718
kin_tau1-3s_phi-1_T3-650,kinetic,membrane_permeate,H2,2695.5224580377308,5.434173275404065
kin_tau1-3s_phi-1_T3-650,kinetic,cfr_feed,H2,1451.435169712624,2.92609330214065
kin_tau1-3s_phi-1_T3-650,kinetic,cfr_feed,CH4,1254.5490248279073,20.126730005314116
kin_tau1-3s_phi-1_T3-650,kinetic,cfr_feed,CO,562.315723385094,15.750463412016481
kin_tau1-3s_phi-1_T3-650,kinetic,cfr_feed,CO2,384.26111365884555,16.910947351012137
kin_tau1-3s_phi-1_T3-650,kinetic,cfr_feed,H2O,28.893127118908865,0.5205096850471432
kin_tau1-3s_phi-1_T3-650,kinetic,stage3_out,H2,1445.7039091088448,2.914539080763431
kin_tau1-3s_phi-1_T3-650,kinetic,stage3_out,CH4,1256.3886823489847,20.15624363092476
kin_tau1-3s_phi-1_T3-650,kinetic,stage3_out,CO,560.6883539045656,15.70488079286688
kin_tau1-3s_phi-1_T3-650,kinetic,stage3_out,CO2,384.0488256182952,16.901604766635554
kin_tau1-3s_phi-1_T3-650,kinetic,stage3_out,H2O,30.945072680536143,0.5574754843398587
kin_tau1-3s_phi-1_T3-800,kinetic,stage1_out,H2,3490.366989121612,7.03657985006917
kin_tau1-3s_phi-1_T3-800,kinetic,stage1_out,CH4,1246.7756153313662,20.002021196761106
kin_tau1-3s_phi-1_T3-800,kinetic,stage1_out,C(s),1745.183494560806,20.961398953169837
kin_tau1-3s_phi-1_T3-800,kinetic,stage2_feed,H2,4740.366989121612,9.556579850069172
kin_tau1-3s_phi-1_T3-800,kinetic,stage2_feed,CH4,1246.7756153313662,20.002021196761106
kin_tau1-3s_phi-1_T3-800,kinetic,stage2_feed,CO2,954.3502465404804,42.0
kin_tau1-3s_phi-1_T3-800,kinetic,stage2_out,H2,4146.957627750355,8.360266577544715
kin_tau1-3s_phi-1_T3-800,kinetic,stage2_out,CH4,1254.5490248279073,20.126730005314116
kin_tau1-3s_phi-1_T3-800,kinetic,stage2_out,H2O,577.8625423781772,10.410193700942862
kin_tau1-3s_phi-1_T3-800,kinetic,stage2_out,CO,562.315723385094,15.750463412016481
kin_tau1-3s_phi-1_T3-800,kinetic,stage2_out,CO2,384.26111365884555,16.910947351012137
kin_tau1-3s_phi-1_T3-800,kinetic,recovered_water,H2O,548.9694152592683,9.889684015895718
kin_tau1-3s_phi-1_T3-800,kinetic,membrane_permeate,H2,2695.5224580377308,5.434173275404065
kin_tau1-3s_phi-1_T3-800,kinetic,cfr_feed,H2,1451.435169712624,2.92609330214065
kin_tau1-3s_phi-1_T3-800,kinetic,cfr_feed,CH4,1254.5490248279073,20.126730005314116
kin_tau1-3s_phi-1_T3-800,kinetic,cfr_feed,CO,562.315723385094,15.750463412016481
kin_tau1-3s_phi-1_T3-800,kinetic,cfr_feed,CO2,384.26111365884555,16.910947351012137
kin_tau1-3s_phi-1_T3-800,kinetic,cfr_feed,H2O,28.893127118908865,0.5205096850471432
kin_tau1-3s_phi-1_T3-800,kinetic,stage3_out,H2,1563.904704534167,3.1528318843408805
kin_tau1-3s_phi-1_T3-800,kinetic,stage3_out,CH4,1110.3862133321222,17.813926020487237
kin_tau1-3s_phi-1_T3-800,kinetic,stage3_out,CO,421.12786935051344,11.79579162050788
