case,value_type,stream,species,kmol_d,t_d
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 inlet,total,10615.314364972011,190.09829244071366
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 outlet gas,CH4,112.46359703104753,1.8042534871690954
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 outlet gas,CO2,1858.1671686801103,81.77607892644298
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 outlet gas,CO,2092.363359537284,58.60709770063932
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 outlet gas,H2,4377.044441991516,8.824121595054896
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 outlet gas,H2O,2169.675945411892,39.08671215659523
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 outlet gas,other,0.0009610943421378203,2.8574812491440787e-05
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 outlet gas,total,10609.715473746191,190.09829244071398
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 condensed water,CH4,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 condensed water,CO2,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 condensed water,CO,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 condensed water,H2,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 condensed water,H2O,2061.1921481412974,37.13237654876547
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 condensed water,other,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 condensed water,total,2061.1921481412974,37.13237654876547
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 dry gas to membrane,CH4,112.46359703104753,1.8042534871690954
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 dry gas to membrane,CO2,1858.1671686801103,81.77607892644298
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 dry gas to membrane,CO,2092.363359537284,58.60709770063932
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 dry gas to membrane,H2,4377.044441991516,8.824121595054896
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 dry gas to membrane,H2O,108.48379727059455,1.954335607829761
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 dry gas to membrane,other,0.0009610943421378203,2.8574812491440787e-05
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 dry gas to membrane,total,8548.523325604894,152.9659158919485
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,membrane permeate (H2 export),CH4,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,membrane permeate (H2 export),CO2,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,membrane permeate (H2 export),CO,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,membrane permeate (H2 export),H2,2188.522220995758,4.412060797527448
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,membrane permeate (H2 export),H2O,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,membrane permeate (H2 export),other,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,membrane permeate (H2 export),total,2188.522220995758,4.412060797527448
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 inlet (membrane retentate),CH4,112.46359703104753,1.8042534871690954
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 inlet (membrane retentate),CO2,1858.1671686801103,81.77607892644298
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 inlet (membrane retentate),CO,2092.363359537284,58.60709770063932
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 inlet (membrane retentate),H2,2188.522220995758,4.412060797527448
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 inlet (membrane retentate),H2O,108.48379727059455,1.954335607829761
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 inlet (membrane retentate),other,0.0009610943421378203,2.8574812491440787e-05
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 inlet (membrane retentate),total,6360.001104609137,148.55385509442107
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 outlet gas,CH4,253.89917047264083,4.073304391892576
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 outlet gas,CO2,2046.844936201754,90.07959879730299
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 outlet gas,CO,14.929779165386602,0.4181831144224787
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 outlet gas,H2,205.57263121465195,0.4144344245287383
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 outlet gas,H2O,1808.5623600331876,32.58125091599788
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 outlet gas,other,0.0005404176482591443,1.6251324775706072e-05
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 outlet gas,total,4329.809417505269,127.56678789546946
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 condensed water,CH4,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 condensed water,CO2,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 condensed water,CO,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 condensed water,H2,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 condensed water,H2O,1718.1342420315282,30.952188370197984
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 condensed water,other,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 condensed water,total,1718.1342420315282,30.952188370197984
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 dry gas,CH4,253.89917047264083,4.073304391892576
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 dry gas,CO2,2046.844936201754,90.07959879730299
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 dry gas,CO,14.929779165386602,0.4181831144224787
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 dry gas,H2,205.57263121465195,0.4144344245287383
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 dry gas,H2O,90.42811800165941,1.6290625457998944
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 dry gas,other,0.0005404176482591443,1.6251324775706072e-05
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 dry gas,total,2611.675175473741,96.61459952527147
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,purge,CH4,0.6347479324067365,0.010183261079601274
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,purge,CO2,102.34224590412255,4.50397989999453
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,purge,CO,0.7464889537424647,0.020909155594326434
