config,scenario,gate_share,carbon_revenue,gate_revenue,water_revenue,H2_export_tpd,H2_revenue,credit_revenue,electricity_cost,dac_opex,grid_kW,yield_basis,credits,purchased_MUSD,FCI_MUSD,C_tpd,water_tpd,CO2_fixed_tpd,aux_kW,H2_fired_tpd,fixed_OM,catalyst_membrane_replacement,annual_cash_flow,NPV_MUSD,IRR,discounted_payback_y,simple_payback_y
X4-grid,Conservative,0.0,3483703.758315725,0.0,6740.372011584181,0.9045981742519329,597034.7950062756,0.0,621230.0593988547,0.0,980.476735162334,equilibrium,False,14.144787668977228,51.34557923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2053823.1695354937,569729.3834488614,842696.3129503749,-43.07186261812653,1.0000000000000002e-06,,60.93011022988895
X4-grid,Conservative,0.5,3483703.758315725,1056000.0,6740.372011584181,0.9045981742519329,597034.7950062756,0.0,621230.0593988547,0.0,980.476735162334,equilibrium,False,14.144787668977228,51.34557923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2053823.1695354937,569729.3834488614,1898696.3129503755,-32.703898955860076,1.0000000000000002e-06,,27.042544343809084
X4-grid,Conservative,1.0,3483703.758315725,2112000.0,6740.372011584181,0.9045981742519329,597034.7950062756,0.0,621230.0593988547,0.0,980.476735162334,equilibrium,False,14.144787668977228,51.34557923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2053823.1695354937,569729.3834488614,2954696.3129503755,-22.33593529359362,0.013775876971411683,,17.377616445162463
X4-grid,Base,0.0,6773868.418947243,0.0,16850.93002896045,0.9045981742519329,895552.1925094135,0.0,465922.544549141,0.0,980.476735162334,equilibrium,False,14.144787668977228,51.34557923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2053823.1695354937,569729.3834488614,4596796.443952121,-6.213554149626694,0.06328884900714377,29.115271818406672,11.169861416409097
X4-grid,Base,0.5,6773868.418947243,1980000.0,16850.93002896045,0.9045981742519329,895552.1925094135,0.0,465922.544549141,0.0,980.476735162334,equilibrium,False,14.144787668977228,51.34557923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2053823.1695354937,569729.3834488614,6576796.443952119,13.22637771712289,0.11304985305397525,12.73702476972776,7.807080495186016
X4-grid,Base,1.0,6773868.418947243,3960000.0,16850.93002896045,0.9045981742519329,895552.1925094135,0.0,465922.544549141,0.0,980.476735162334,equilibrium,False,14.144787668977228,51.34557923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2053823.1695354937,569729.3834488614,8556796.443952119,32.66630958387249,0.1577483178704724,8.507591414913122,6.000561024760384
X4-grid,Opportunity,0.0,13547736.837894486,0.0,33701.8600579209,0.9045981742519329,1492586.987515689,0.0,310615.02969942737,0.0,980.476735162334,equilibrium,False,14.144787668977228,51.34557923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2053823.1695354937,569729.3834488614,12139858.102784313,67.84533712026676,0.23284037660784357,5.375762368505304,4.229504068635784
X4-grid,Opportunity,0.0,13547736.837894486,0.0,33701.8600579209,0.9045981742519329,1492586.987515689,1098610.668324852,310615.02969942737,0.0,980.476735162334,equilibrium,True,14.144787668977228,51.34557923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2053823.1695354937,569729.3834488614,13238468.771109166,78.63165860527656,0.2550902030757445,4.832207754129011,3.8785134539457333
X4-grid,Opportunity,0.5,13547736.837894486,3300000.0,33701.8600579209,0.9045981742519329,1492586.987515689,0.0,310615.02969942737,0.0,980.476735162334,equilibrium,False,14.144787668977228,51.34557923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2053823.1695354937,569729.3834488614,15439858.102784311,100.24522356484941,0.29910042073332443,4.019681070073628,3.3255214456360873
X4-grid,Opportunity,0.5,13547736.837894486,3300000.0,33701.8600579209,0.9045981742519329,1492586.987515689,1098610.668324852,310615.02969942737,0.0,980.476735162334,equilibrium,True,14.144787668977228,51.34557923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2053823.1695354937,569729.3834488614,16538468.77110916,111.03154504985916,0.32086858661492723,3.7176825160110685,3.104615061346083
