water_remove_frac,h2_to_cfr_frac,T_cfr_K,C_stage3_tpd,Recovered_water_tpd,Q3_kW,converged
0.85,0.15,575.0,0.0,9.274468826757435,-0.1528432787372448,1
0.85,0.15,600.0,0.0,9.274468826757435,-0.44659612580405345,1
0.85,0.15,625.0,0.0,9.274468826757435,-1.2707514179575885,1
0.85,0.15,650.0,0.0,9.274468826757435,-4.022094982721541,1
0.85,0.15,675.0,0.004523979791283076,9.274468826757435,-8.925641771331364,1
0.85,0.15,700.0,0.1127198793836308,9.274468826757435,-10.215265162719797,1
0.85,0.15,725.0,0.4252938176394453,9.274468826757435,-4.161470029270384,1
0.85,0.15,750.0,1.1723611129399534,9.274468826757435,19.53903720231127,1
0.85,0.2,575.0,0.0,9.274468826757435,-0.18533927991231283,1
0.85,0.2,600.0,0.0,9.274468826757435,-0.5275376355566801,1
0.85,0.2,625.0,0.0,9.274468826757435,-1.4203354519038731,1
0.85,0.2,650.0,0.0,9.274468826757435,-3.7536137406504593,1
0.85,0.2,675.0,0.0,9.274468826757435,-11.13516265835762,1
0.85,0.2,700.0,0.01546139677529729,9.274468826757435,-22.965994808926407,1
0.85,0.2,725.0,0.28194956299799406,9.274468826757435,-24.97980141485108,1
0.85,0.2,750.0,0.9727948344764515,9.274468826757435,-12.605077281258547,1
0.85,0.25,575.0,0.0,9.274468826757435,-0.21654146844440036,1
0.85,0.25,600.0,0.0,9.274468826757435,-0.608289443885662,1
0.85,0.25,625.0,8.79008779826329e-22,9.274468826757435,-1.6019972252866959,1
0.85,0.25,650.0,0.0,9.274468826757435,-4.037194145768483,1
0.85,0.25,675.0,0.0,9.274468826757435,-10.167605235584048,1
0.85,0.25,700.0,1.2393506465238498e-05,9.274468826757435,-20.875073563325316,1
0.85,0.25,725.0,0.10763585609776104,9.274468826757435,-47.51481386786355,1
0.85,0.25,750.0,0.7320050919098134,9.274468826757435,-46.64907958588282,1
0.85,0.30000000000000004,575.0,0.0,9.274468826757435,-0.24662062493147674,1
0.85,0.30000000000000004,600.0,0.0,9.274468826757435,-0.6869250135231019,1
0.85,0.30000000000000004,625.0,0.0,9.274468826757435,-1.7868119669801217,1
0.85,0.30000000000000004,650.0,0.0,9.274468826757435,-4.4058658832369915,1
0.85,0.30000000000000004,675.0,0.0,9.274468826757435,-10.541876302852277,1
0.85,0.30000000000000004,700.0,0.0,9.274468826757435,-26.105284730178337,1
0.85,0.30000000000000004,725.0,0.00010452852488747338,9.274468826757435,-56.166285038089754,1
0.85,0.30000000000000004,750.0,0.45821254148367957,9.274468826757435,-82.24772493005611,1
0.85,0.35,575.0,0.0,9.274468826757435,-0.2757920702340868,1
0.85,0.35,600.0,0.0,9.274468826757435,-0.7633666091707018,1
0.85,0.35,625.0,0.0,9.274468826757435,-1.9692008356850235,1
0.85,0.35,650.0,0.0,9.274468826757435,-4.793708309296855,1
