Element,In (kmol-atoms/d),Out (kmol-atoms/d),Abs Error,Rel Error
C,2991.959109892165,2991.959109892172,6.821210263296962e-12,2.2798474219598573e-15
H,11967.83643956866,11967.836439568688,2.7284841053187847e-11,2.2798474219598573e-15
O,0.0,0.0,0.0,
